AMLP,1.13400003E10
ETP,Energy Transfer Partners LP,11.18
EPD,Enterprise Products Partners LP,9.71
MMP,Magellan Midstream Partners LP,9.39
BPL,Buckeye Partners LP,7.99
PAA,Plains All American Pipeline LP,7.24
MPLX,MPLX LP,6.42
SXL,Sunoco Logistics Partners LP,4.67
WPZ,Williams Partners LP,4.62
OKS,ONEOK Partners LP,4.51
EQM,EQT Midstream Partners LP,3.76
EEP,Enbridge Energy Partners LP,3.59
WES,Western Gas Partners LP,3.07
SEP,Spectra Energy Partners LP,2.84
GEL,Genesis Energy LP,2.74
TLLP,Tesoro Logistics LP,2.53
NS,NuStar Energy LP,2.36
DPM,DCP Midstream Partners LP,2.29
SHLX,Shell Midstream Partners LP,2.09
TCP,TC PipeLines LP,2.07
BWP,Boardwalk Pipeline Partners LP,1.67
ENLK,EnLink Midstream Partners LP,1.55
PSXP,Phillips 66 Partners LP,1.36
AM,Antero Midstream Partners LP,1.19
CQP,Cheniere Energy Partners LP,1.18
MPFXX,Morgan Stanley Institutional Liquidity Funds Prime Portfolio,0.06
