DIA,2.544E10
GS,Goldman Sachs Group Inc,8.06
MMM,3M Co,6.24
BA,Boeing Co,5.84
IBM,International Business Machines Corp,5.74
UNH,UnitedHealth Group Inc,5.61
HD,Home Depot Inc,4.83
AAPL,Apple Inc,4.59
JNJ,Johnson & Johnson,4.21
MCD,McDonald's Corp,4.17
TRV,Travelers Cos Inc,4.01
UTX,United Technologies Corp,3.69
DIS,Walt Disney Co,3.65
CVX,Chevron Corp,3.55
CAT,Caterpillar Inc,3.05
JPM,JPMorgan Chase & Co,2.99
PG,Procter & Gamble Co,2.98
V,Visa Inc,2.93
XOM,Exxon Mobil Corp,2.67
DD,EI du Pont de Nemours & Co,2.66
AXP,American Express Co,2.58
WMT,Wal-Mart Stores Inc,2.3
MSFT,Microsoft Corp,2.11
MRK,Merck & Co Inc,2.11
NKE,NIKE Inc,1.88
VZ,Verizon Communications Inc,1.63
KO,Coca-Cola Co,1.37
INTC,Intel Corp,1.14
PFE,Pfizer Inc,1.13
CSCO,Cisco Systems Inc,1.11
GE,General Electric Co,0.97
CASH_USD,U.S. Dollar,0.02
Identifier,Name,0.0
