FBT,1.45E9
KITE,Kite Pharma Inc,5.15
ALNY,Alnylam Pharmaceuticals Inc,4.05
NKTR,Nektar Therapeutics,3.8
INCY,Incyte Corp,3.79
RARE,Ultragenyx Pharmaceutical Inc,3.73
AGIO,Agios Pharmaceuticals Inc,3.73
ACAD,ACADIA Pharmaceuticals Inc,3.58
MYGN,Myriad Genetics Inc,3.54
JUNO,Juno Therapeutics Inc,3.53
AMGN,Amgen Inc,3.44
VRTX,Vertex Pharmaceuticals Inc,3.38
SGEN,Seattle Genetics Inc,3.33
NBIX,Neurocrine Biosciences Inc,3.33
ICPT,Intercept Pharmaceuticals Inc,3.33
CRL,Charles River Laboratories International Inc,3.33
BIIB,Biogen Inc,3.28
CELG,Celgene Corp,3.28
TECH,Bio-Techne Corp,3.19
QGEN,QIAGEN NV,3.19
REGN,Regeneron Pharmaceuticals Inc,3.19
BMRN,BioMarin Pharmaceutical Inc,3.18
Q,Quintiles Transnational Holdings Inc,3.09
ILMN,Illumina Inc,3.02
GRFS,Grifols SA,3.01
ALKS,Alkermes Plc,3.0
GILD,Gilead Sciences Inc,2.81
UTHR,United Therapeutics Corp,2.79
ALXN,Alexion Pharmaceuticals Inc,2.69
XON,Intrexon Corp,2.64
IONS,Ionis Pharmaceuticals Inc.,2.57
