FDL,1.76E9
T,AT&T Inc,9.89
VZ,Verizon Communications Inc,7.84
PFE,Pfizer Inc,6.9
PM,Philip Morris International Inc,6.89
PG,Procter & Gamble Co,6.64
CSCO,Cisco Systems Inc,5.09
MO,Altria Group Inc,4.7
MRK,Merck & Co Inc,4.66
IBM,International Business Machines Corp,4.41
INTC,Intel Corp,4.16
BA,Boeing Co,2.48
QCOM,QUALCOMM Inc,2.29
DUK,Duke Energy Corp,2.21
SO,Southern Co,2.01
DOW,Dow Chemical Co,1.99
D,Dominion Resources Inc/VA,1.59
CAT,Caterpillar Inc,1.47
RAI,Reynolds American Inc,1.43
MET,MetLife Inc,1.42
AEP,American Electric Power Co Inc,1.1
EMR,Emerson Electric Co,1.09
PRU,Prudential Financial Inc,1.08
LYB,LyondellBasell Industries NV,0.99
PPL,PPL Corp,0.98
ETN,Eaton Corp PLC,0.94
VLO,Valero Energy Corp,0.94
HPQ,Hewlett-Packard Co,0.79
PEG,Public Service Enterprise Group Inc,0.77
ED,Consolidated Edison Inc,0.77
XEL,Xcel Energy Inc,0.66
IP,International Paper Co,0.63
WEC,WEC Energy Group Inc,0.57
ETR,Entergy Corp,0.57
CMI,Cummins Inc,0.57
CNP,CenterPoint Energy Inc,0.44
AEE,Ameren Corp,0.39
IVZ,Invesco Ltd,0.39
PFG,Principal Financial Group Inc,0.39
WRK,WestRock Co,0.34
COH,Coach Inc,0.34
LB,L Brands Inc,0.33
M,Macy's Inc,0.28
PNW,Pinnacle West Capital Corp,0.28
SCG,SCANA Corp,0.26
BBY,Best Buy Co Inc,0.24
SPLS,Staples Inc,0.24
WU,Western Union Co,0.24
OGE,OGE Energy Corp,0.23
CF,CF Industries Holdings Inc,0.23
GXP,Great Plains Energy Inc,0.22
KSS,Kohl's Corp,0.21
GRMN,Garmin Ltd,0.2
PACW,PacWest Bancorp,0.2
HFC,HollyFrontier Corp,0.17
PBCT,People's United Financial Inc,0.17
ORI,Old Republic International Corp,0.17
HRB,H&R Block Inc,0.17
GPS,Gap Inc,0.16
OLN,Olin Corp,0.14
TUP,Tupperware Brands Corp,0.13
MDU,MDU Resources Group Inc,0.12
HE,Hawaiian Electric Industries Inc,0.12
JWN,Nordstrom Inc,0.11
UMPQ,Umpqua Holdings Corp,0.11
WDR,Waddell & Reed Financial Inc,0.11
HUN,Huntsman Corp,0.1
BGS,B&G Foods Inc,0.09
NWE,NorthWestern Corp,0.09
ALE,ALLETE Inc,0.09
UFS,Domtar Corp,0.08
FNB,FNB Corp/PA,0.08
RGC,Regal Entertainment Group,0.08
NUS,Nu Skin Enterprises Inc,0.07
SJI,South Jersey Industries Inc,0.07
UBSI,United Bankshares Inc/WV,0.07
MDP,Meredith Corp,0.07
HBHC,Hancock Holding Co,0.07
CMP,Compass Minerals International Inc,0.07
AVA,Avista Corp,0.07
KMT,Kennametal Inc,0.06
ONB,Old National Bancorp/IN,0.06
UVV,Universal Corp/VA,0.05
TRMK,Trustmark Corp,0.05
NWN,Northwest Natural Gas Co,0.05
NWBI,Northwest Bancshares Inc,0.05
GATX,GATX Corporation,0.05
AYR,Aircastle Ltd,0.05
CALM,Cal-Maine Foods Inc,0.04
MDC,MDC Holdings Inc,0.04
PRK,Park National Corp,0.04
RRD,RR Donnelley & Sons Co,0.03
PFS,Provident Financial Services Inc,0.03
DBD,Diebold Inc,0.03
ANF,Abercrombie & Fitch Co,0.03
BKE,Buckle Inc,0.02
VIA,Viacom Inc,0.01
