FVD,4.3899996E9
UL,Unilever PLC,0.58
ERIE,Erie Indemnity Co,0.57
JNJ,Johnson & Johnson,0.57
PM,Philip Morris International Inc,0.57
AMGN,Amgen Inc,0.56
ADP,Automatic Data Processing Inc,0.56
CAJ,Canon Inc,0.56
DD,EI du Pont de Nemours & Co,0.56
LLY,Eli Lilly & Co,0.56
IFF,International Flavors & Fragrances Inc,0.56
MSI,Motorola Solutions Inc,0.56
OGE,OGE Energy Corp,0.56
PAYX,Paychex Inc,0.56
TXN,Texas Instruments Inc,0.56
MMM,3M Co,0.55
AMT,American Tower Corp,0.55
WTR,Aqua America Inc,0.55
AZN,AstraZeneca PLC,0.55
ATO,Atmos Energy Corp,0.55
BKH,Black Hills Corp,0.55
BMY,Bristol-Myers Squibb Co,0.55
CNA,CNA Financial Corp,0.55
ED,Consolidated Edison Inc,0.55
D,Dominion Resources Inc/VA,0.55
DTE,DTE Energy Co,0.55
DUK,Duke Energy Corp,0.55
ES,Eversource Energy,0.55
ITW,Illinois Tool Works Inc,0.55
MCY,Mercury General Corp,0.55
PNW,Pinnacle West Capital Corp,0.55
RSG,Republic Services Inc,0.55
SRE,Sempra Energy,0.55
SO,Southern Co,0.55
VVC,Vectren Corp,0.55
WEC,WEC Energy Group Inc,0.55
XEL,Xcel Energy Inc,0.55
QCOM,QUALCOMM Inc,0.54
SNY,Sanofi,0.54
SCG,SCANA Corp,0.54
SR,Standard Register Co,0.54
BA,Boeing Co,0.54
CLX,Clorox Co,0.54
KO,Coca-Cola Co,0.54
UGI,UGI Corp,0.54
VFC,VF Corp,0.54
WR,Westar Energy Inc,0.54
ACN,Accenture PLC,0.54
LNT,Alliant Energy Corp,0.54
MO,Altria Group Inc,0.54
AEE,Ameren Corp,0.54
AEP,American Electric Power Co Inc,0.54
AJG,Arthur J Gallagher & Co,0.54
T,AT&T Inc,0.54
CA,CA Inc,0.54
CAH,Cardinal Health Inc,0.54
CINF,Cincinnati Financial Corp,0.54
CME,CME Group Inc/IL,0.54
CMS,CMS Energy Corp,0.54
CAG,ConAgra Foods Inc,0.54
DPS,Dr Pepper Snapple Group Inc,0.54
ETN,Eaton Corp PLC,0.54
EIX,Edison International,0.54
EE,El Paso Electric Co,0.54
HON,Honeywell International Inc,0.54
LEG,Leggett & Platt Inc,0.54
MDU,MDU Resources Group Inc,0.54
MDT,Medtronic PLC,0.54
MCHP,Microchip Technology Inc,0.54
MON,Monsanto Co,0.54
NEE,NextEra Energy Inc,0.54
PDCO,Patterson Cos Inc,0.54
PEP,PepsiCo Inc,0.54
PFE,Pfizer Inc,0.54
POR,Portland General Electric Co,0.54
PPL,PPL Corp,0.54
PEG,Public Service Enterprise Group Inc,0.54
ABT,Abbott Laboratories,0.53
ALE,ALLETE Inc,0.53
ADI,Analog Devices Inc,0.53
ADM,Archer-Daniels-Midland Co,0.53
AIZ,Assurant Inc,0.53
AVB,AvalonBay Communities Inc,0.53
AGR,Avangrid Inc.,0.53
AVA,Avista Corp,0.53
AXS,Axis Capital Holdings Ltd,0.53
BMS,Bemis Co Inc,0.53
CPB,Campbell Soup Co,0.53
CB,Chubb Corp,0.53
CSCO,Cisco Systems Inc,0.53
CL,Colgate-Palmolive Co,0.53
CBRL,Cracker Barrel Old Country Store Inc,0.53
CVS,CVS Health Corp,0.53
DE,Deere & Co,0.53
RE,Everest Re Group Ltd,0.53
XOM,Exxon Mobil Corp,0.53
FAST,Fastenal Co,0.53
GIS,General Mills Inc,0.53
GSK,GlaxoSmithKline PLC,0.53
HE,Hawaiian Electric Industries Inc,0.53
IDA,IDACORP Inc,0.53
INFY,Infosys Ltd,0.53
K,Kellogg Co,0.53
KMB,Kimberly-Clark Corp,0.53
LMT,Lockheed Martin Corp,0.53
MCD,McDonald's Corp,0.53
MSFT,Microsoft Corp,0.53
NJR,New Jersey Resources Corp,0.53
OMI,Owens & Minor Inc,0.53
