GDX,8.3599995E9
ABX,Barrick Gold Corp,11.82
NEM,Newmont Mining Corp,9.34
GG,Goldcorp Inc,7.02
NCM.AX,Newcrest Mining Ltd,6.84
FNV,Franco-Nevada Corp,6.14
AEM,Agnico Eagle Mines Ltd,5.1
GOLD,Randgold Resources Ltd,4.62
SLW,Silver Wheaton Corp,4.41
AU,AngloGold Ashanti Ltd,2.49
KGC,Kinross Gold Corp,2.4
RGLD,Royal Gold Inc,2.39
BVN,Cia de Minas Buenaventura SAA,1.99
BTG,B2Gold Corp,1.62
GFI,Gold Fields Ltd,1.6
EVN.AX,Evolution Mining Ltd,1.53
AUY,Yamana Gold Inc,1.5
PAAS,Pan American Silver Corp,1.47
CEY.LS,Centamin PLC,1.39
TAHO,Tahoe Resources Inc,1.32
2899 HK,Zijin Mining Group Co Ltd,1.28
EGO,Eldorado Gold Corp,1.24
DGC.TO,Detour Gold Corp,1.19
AGI,Alamos Gold Inc,1.15
HL,Hecla Mining Co,1.12
SBGL,Sibanye Gold Ltd,1.09
OGC.TO,OceanaGold Corp,1.08
NST.AX,Northern Star Resources Ltd,1.05
EDV.TO,Endeavour Mining Corp,0.97
IAG,IAMGOLD Corp,0.96
IGO.AX,Independence Group NL,0.91
TXG.TO,Torex Gold Resources Inc,0.89
CDE,Coeur Mining Inc,0.85
NGD,New Gold Inc,0.81
CG.TO,Centerra Gold Inc,0.81
KL,Kirkland Lake Gold Ltd,0.8
AG,First Majestic Silver Corp,0.73
SSRI,Silver Standard Resources Inc,0.68
RRL.AX,Regis Resources Ltd,0.67
OR,Osisko Gold Royalties Ltd,0.64
SMF.TO,SEMAFO Inc,0.59
HMY,Harmony Gold Mining Co Ltd,0.59
SBM.AX,St Barbara Ltd,0.56
MUX,McEwen Mining Inc,0.51
GUY.TO,Guyana Goldfields Inc,0.48
1818 HK,Zhaojin Mining Industry Co Ltd,0.47
RSG.AX,Resolute Mining Ltd,0.46
FVI.TO,Fortuna Silver Mines Inc,0.44
KLDX,Klondex Mines Ltd,0.4
SAND,Sandstorm Gold Ltd,0.34
SAR.AX,Saracen Mineral Holdings Ltd,0.34
AKG,Asanko Gold Inc,0.28
