GNR,1.54E9
435664,Syngenta AG,5.27
XOM,Exxon Mobil Corp,4.4
614469,BHP Billiton Limited,4.4
B15C55,Total SA,4.04
B03MLX,Royal Dutch Shell Plc Class A,3.59
B4T3BW,Glencore plc,3.58
079805,BP p.l.c.,3.37
MON,Monsanto Co,3.25
CVX,Chevron Corp,2.66
POT,Potash Corporation of Saskatchewan Inc.,1.98
AGU.TO,Agrium Inc,1.83
505125,UPM-Kymmene Oyj,1.79
606660,Amcor Ltd,1.75
ADM,Archer-Daniels-Midland Company,1.69
WY,Weyerhaeuser Co,1.66
ABX,Barrick Gold Corporation,1.63
SU.TO,Suncor Energy Inc,1.61
5401,Nippon Steel & Sumitomo Metal Corp,1.56
B1XZS8,Anglo American plc,1.53
NUE,Nucor Corp,1.5
622010,Rio Tinto Limited,1.46
SLB,Schlumberger NV,1.44
PKX,POSCO Sponsored ADR,1.38
IP,International Paper Company,1.38
NEM,Newmont Mining Corporation,1.35
714505,Eni S.p.A.,1.34
B17KC6,Wilmar International Limited,1.32
FCX,Freeport-McMoRan Inc.,1.27
B03XPL,ArcelorMittal SA,1.24
B1CRLC,Mondi plc,1.18
CNQ.TO,Canadian Natural Resources Ltd,1.15
VALE,Vale S.A. Sponsored ADR,1.02
G.TO,Goldcorp Inc,0.97
663710,Newcrest Mining Limited,0.93
775125,Yara International ASA,0.92
507267,Stora Enso Oyj Class R,0.92
B1RR82,Smurfit Kappa Group Plc,0.87
WRK,WestRock Co.,0.85
FNV,Franco-Nevada Corporation,0.84
514098,Public Joint-Stock Company Gazprom Sponsored ADR,0.82
BWSW5D,South32 Ltd.,0.81
563692,thyssenkrupp AG,0.8
BYSW6D,Public Joint Stock Company Mining & Metallurgical Company Norilsk Nickel Sponsored ADR,0.77
5411,JFE Holdings Inc,0.75
BG,Bunge Ltd,0.74
COP,ConocoPhillips,0.73
BYZDW2,Oil company LUKOIL PJSC Sponsored ADR,0.72
EOG,EOG Resources Inc,0.72
MOS,Mosaic Co,0.66
SLW.TO,Silver Wheaton Corp,0.65
B54C01,K+S AG,0.65
OXY,Occidental Petroleum Corporation,0.64
3861,Oji Holdings Corp.,0.61
B11HK3,Norsk Hydro ASA,0.59
713360,Statoil ASA,0.58
B00G0S,CNOOC Limited,0.58
SEE,Sealed Air Corporation,0.57
HAL,Halliburton Co,0.57
INGR,Ingredion Incorporated,0.57
5713,Sumitomo Metal Mining Co Ltd,0.56
PKG,Packaging Corp of America,0.56
566935,Repsol SA,0.55
697972,Woodside Petroleum Ltd,0.54
FMC,FMC Corporation,0.52
APC,Anadarko Petroleum Corporation,0.46
AVY,Avery Dennison Corporation,0.46
PSX,Phillips 66,0.45
SCCO,Southern Copper Corp,0.45
PBR,Petroleo Brasileiro SA Sponsored ADR,0.44
CF,CF Industries Holdings Inc,0.44
PXD,Pioneer Natural Resources Company,0.4
VLO,Valero Energy Corp,0.4
AA,Alcoa Corp.,0.38
494340,voestalpine AG,0.33
649542,Korea Zinc Co. Ltd.,0.31
BHI,Baker Hughes Incorporated,0.31
645553,ICL-Israel Chemicals Ltd.,0.3
004561,Antofagasta plc,0.28
DVN,Devon Energy Corp,0.27
FBR,Fibria Celulose S.A. Sponsored ADR,0.27
B0DK75,NOVATEK Joint Stock Company Sponsored GDR RegS,0.26
616447,Golden Agri-Resources Ltd,0.25
IMO,Imperial Oil Limited,0.24
B2QPKJ,Fresnillo PLC,0.24
RYN,Rayonier Inc,0.22
B17FSC,Rosneft Oil Co. Sponsored GDR RegS,0.19
46729666,SSC GOVERNMENT MM GVXX STIF USD,0.18
B1G4YH,Severstal PAO Sponsored GDR RegS,0.17
BD4TZK,OCI NV,0.17
B0RTNX,Novolipetsk Steel Sponsored GDR RegS,0.11
669323,POSCO,0.1
CASH_GBP,British Pounds,0.08
EC,Ecopetrol SA,0.06
CASH_NOK,Norwegian Krone,0.01
CASH_ILS,Israeli Shekel,0.01
Identifier,Name,0.0
CASH_HKD,Hong Kong Dollar,0.0
CASH_CHF,Swiss Franc,0.0
CASH_AUD,Australian Dollar,0.0
CASH_JPY,Japanese Yen,0.0
CASH_USD,U.S. Dollar,0.0
CASH_SGD,Singapore Dollar,0.0
CASH_EUR,Euro,0.0
CASH_CAD,Canadian Dollar,0.0
CASH_SEK,Swedish Krona,0.0
CASH_KRW,South Korean Won,0.0
