GUNR,5.6300001E9
MON,MONSANTO CO COMMON STOCK USD 0.01,5.35
SYNN VX,SYNGENTA AG COMMON STOCK CHF 0.1,5.02
XOM,Exxon Mobil Corp,4.63
BHP.AX,BHP BILLITON LTD COMMON STOCK AUD 0,4.1
CVX,CHEVRON CORP COMMON STOCK USD 0.75,3.89
RIO.LS,RIO TINTO PLC COMMON STOCK GBP 10,3.23
ADM,ARCHER-DANIELS-MIDLAND CO COMMON STOCK USD 0,3.05
GLEN.LS,GLENCORE PLC COMMON STOCK GBP 0.01,2.93
TSN,TYSON FOODS INC COMMON STOCK USD 0.1,2.73
FP FP,TOTAL SA COMMON STOCK EUR 2.5,2.56
RDSA.LS,ROYAL DUTCH SHELL PLC COMMON STOCK,2.18
BP..LS,BP PLC COMMON STOCK GBP 0.25,2.17
ABX,BARRICK GOLD CORP COMMON STOCK CAD 0,1.83
WY,WEYERHAEUSER CO REIT USD 1.25,1.71
NEM,NEWMONT MINING CORP COMMON STOCK USD 1.6,1.53
POT,POTASH CORP OF SASKATCHEWAN INC COMMON STOCK CAD 0,1.51
AGU,AGRIUM INC COMMON STOCK CAD 0,1.41
AAL.LS,ANGLO AMERICAN PLC COMMON STOCK GBP 0.54945,1.33
VALE5 BZ,VALE SA PREFERENCE BRL 0,1.24
8002 JP,MARUBENI CORP COMMON STOCK JPY,1.17
BG,Bunge Ltd,1.16
NCM.AX,NEWCREST MINING LTD COMMON STOCK AUD 0,1.11
G,GOLDCORP INC COMMON STOCK CAD 0,1.1
OXY,OCCIDENTAL PETROLEUM CORP COMMON STOCK USD 0.2,1.09
WIL SP,WILMAR INTERNATIONAL LTD COMMON STOCK SGD 0,1.06
COP,CONOCOPHILLIPS COMMON STOCK USD 0.01,1.02
AWK,AMERICAN WATER WORKS CO INC COMMON STOCK USD 0.01,1.0
SU,SUNCOR ENERGY INC COMMON STOCK CAD 0,0.99
FNV,FRANCO-NEVADA CORP COMMON STOCK CAD 0,0.98
EOG,EOG RESOURCES INC COMMON STOCK USD 0.01,0.96
MOS,MOSAIC CO/THE COMMON STOCK USD 0.01,0.95
UPM FH,UPM-KYMMENE OYJ COMMON STOCK EUR 0,0.95
AEM,AGNICO EAGLE MINES LTD COMMON STOCK CAD 0,0.9
FCX,FREEPORT-MCMORAN INC COMMON STOCK USD 0.1,0.87
ENI IM,ENI SPA COMMON STOCK EUR 0,0.84
SLW,SILVER WHEATON CORP COMMON STOCK CAD 0,0.83
VIE FP,VEOLIA ENVIRONNEMENT SA COMMON STOCK EUR 5,0.81
YAR NO,YARA INTERNATIONAL ASA COMMON STOCK NOK 1.7,0.75
MHG NO,MARINE HARVEST ASA,0.74
CNQ,CANADIAN NATURAL RESOURCES LTD COMMON STOCK CAD 0,0.72
S32.AX,SOUTH32 LTD COMMON STOCK AUD 0,0.72
MNOD.LS,MMC NORILSK NICKEL PJSC-ADR,0.68
RRS.LS,RANDGOLD RESOURCES LTD COMMON STOCK GBP 0.05,0.68
GMEXICOB MM,GRUPO MEXICO SAB DE CV COMMON STOCK MXN 0,0.65
CF,CF INDUSTRIES HOLDINGS INC COMMON STOCK USD 0.01,0.65
TECK.B,TECK RESOURCES LTD COMMON STOCK CAD 0,0.63
APC,ANADARKO PETROLEUM CORP COMMON STOCK USD 0.1,0.62
PXD,PIONEER NATURAL RESOURCES CO COMMON STOCK USD 0.01,0.62
UU..LS,UNITED UTILITIES GROUP PLC COMMON STOCK GBP 5,0.6
MNDI.LS,MONDI PLC COMMON STOCK GBP 0.2,0.6
FMG.AX,FORTESCUE METALS GROUP LTD COMMON STOCK AUD 0,0.55
NHY NO,NORSK HYDRO ASA,0.54
BOL SS,BOLIDEN AB COMMON STOCK SEK 2.11,0.52
IPL.AX,INCITEC PIVOT LTD COMMON STOCK AUD 0,0.52
SVT.LS,SEVERN TRENT PLC COMMON STOCK GBP 97.89,0.52
8031 JP,MITSUI & CO LTD COMMON STOCK JPY,0.5
SDF GR,K+S AG COMMON STOCK EUR 0,0.5
5713 JP,SUMITOMO METAL MINING CO LTD COMMON STOCK JPY,0.49
UPLL IN,UPL LTD COMMON STOCK INR 2,0.48
SMG,SCOTTS MIRACLE-GRO CO/THE COMMON STOCK USD 0.01,0.47
STERV FH,STORA ENSO OYJ COMMON STOCK EUR 0,0.46
PETR4 BZ,PETROLEO BRASILEIRO SA PREFERENCE BRL 0,0.46
LKOD.LS,LUKOIL PJSC ADR USD 0.025,0.45
SCCO,SOUTHERN COPPER CORP COMMON STOCK USD 0.01,0.44
FM,FIRST QUANTUM MINERALS LTD COMMON STOCK CAD 0,0.42
IOI MK,IOI CORP BHD COMMON STOCK MYR 0.1,0.42
SEV FP,SUEZ COMMON STOCK EUR 4,0.41
WTR,AQUA AMERICA INC COMMON STOCK USD 0.5,0.41
386 HK,CHINA PETROLEUM & CHEMICAL CORP COMMON STOCK HKD 1,0.41
883 HK,CNOOC LTD COMMON STOCK HKD 0,0.39
ANG SJ,ANGLOGOLD ASHANTI LTD COMMON STOCK ZAR 25,0.37
REP SM,REPSOL SA COMMON STOCK EUR 1,0.37
K,KINROSS GOLD CORP COMMON STOCK CAD 0,0.36
APA,APACHE CORP COMMON STOCK USD 0.625,0.35
DVN,DEVON ENERGY CORP COMMON STOCK USD 0.1,0.35
STL NO,STATOIL ASA COMMON STOCK NOK 2.5,0.35
CXO,CONCHO RESOURCES INC COMMON STOCK USD 0.001,0.34
WPL.AX,WOODSIDE PETROLEUM LTD COMMON STOCK AUD 0,0.33
RGLD,ROYAL GOLD INC COMMON STOCK USD 0.01,0.32
3861 JP,OJI HOLDINGS CORP COMMON STOCK JPY,0.32
PNN.LS,PENNON GROUP PLC COMMON STOCK GBP 40.7,0.31
CPF-R TB,CHAROEN POKPHAND FOODS PCL NVDR THB 1,0.31
010130 KS,KOREA ZINC CO LTD COMMON STOCK KRW 5000,0.3
KLK MK,KUALA LUMPUR KEPONG BHD COMMON STOCK MYR 1,0.3
