ICF,2.75000013E9
PSA,Public Storage,7.35
SPG,Simon Property Group Inc,7.28
EQIX,Equinix Inc,6.05
PLD,Prologis Inc,5.92
AVB,AvalonBay Communities Inc,5.57
HCN,Health Care REIT Inc,5.38
EQR,Equity Residential,5.12
VTR,Ventas Inc,4.71
BXP,Boston Properties Inc,4.52
VNO,Vornado Realty Trust,3.98
DLR,Digital Realty Trust Inc,3.67
O,Realty Income Corp,3.38
ESS,Essex Property Trust Inc,3.36
HCP,HCP Inc,3.1
GGP,General Growth Properties Inc,3.04
HST,Host Hotels & Resorts Inc,2.99
SLG,SL Green Realty Corp,2.43
ARE,Alexandria Real Estate Equities Inc,2.16
REG,Regency Centers Corp,2.15
KIM,Kimco Realty Corp,2.14
UDR,UDR Inc,2.13
FRT,Federal Realty Investment Trust,2.11
EXR,Extra Space Storage Inc,2.09
KRC,Kilroy Realty Corp,1.55
NNN,National Retail Properties Inc,1.41
ACC,American Campus Communities Inc,1.38
ELS,Equity LifeStyle Properties Inc,1.37
DEI,Douglas Emmett Inc,1.22
HIW,Highwoods Properties Inc,1.1
WRI,Weingarten Realty Investors,0.86
