IDU,6.6965997E8
NEE,NextEra Energy Inc,8.2
DUK,Duke Energy Corp,7.52
SO,Southern Co,6.6
D,Dominion Resources Inc/VA,6.49
PCG,PG&E Corp,4.5
EXC,Exelon Corp,4.46
AEP,American Electric Power Co Inc,4.36
SRE,Sempra Energy,3.7
EIX,Edison International,3.46
PPL,PPL Corp,3.34
ED,Consolidated Edison Inc,3.15
PEG,Public Service Enterprise Group Inc,3.04
XEL,Xcel Energy Inc,2.98
WEC,WEC Energy Group Inc,2.53
ES,Eversource Energy,2.49
DTE,DTE Energy Co,2.45
AWK,American Water Works Co Inc,1.83
FE,FirstEnergy Corp,1.79
ETR,Entergy Corp,1.79
AEE,Ameren Corp,1.77
CMS,CMS Energy Corp,1.67
CNP,CenterPoint Energy Inc,1.61
SCG,SCANA Corp,1.3
PNW,Pinnacle West Capital Corp,1.23
LNT,Alliant Energy Corp,1.19
UGI,UGI Corp,1.12
ATO,Atmos Energy Corp,1.1
WR,Westar Energy Inc,1.03
NI,NiSource Inc,1.01
AES,AES Corp/VA,0.99
GXP,Great Plains Energy Inc,0.83
WTR,Aqua America Inc,0.74
NRG,NRG Energy Inc,0.73
NFG,National Fuel Gas Co,0.68
VVC,Vectren Corp,0.63
WGL,WGL Holdings Inc,0.56
IDA,IDACORP Inc,0.54
POR,Portland General Electric Co,0.53
CPN,Calpine Corp,0.52
SWX,Southwest Gas Corp,0.51
HE,Hawaiian Electric Industries Inc,0.48
BKH,Black Hills Corp,0.46
OGS,ONE Gas Inc,0.45
NJR,New Jersey Resources Corp,0.44
ALE,ALLETE Inc,0.43
SR,Standard Register Co,0.4
NWE,NorthWestern Corp,0.38
PNM,PNM Resources Inc,0.38
SJI,South Jersey Industries Inc,0.35
AVA,Avista Corp,0.33
EE,El Paso Electric Co,0.26
DYN,Dynegy Inc,0.12
