IGV,1.27E9
ADBE,Adobe Systems Inc,8.96
CRM,salesforce.com inc,8.82
ORCL,Oracle Corp,8.1
MSFT,Microsoft Corp,8.06
ATVI,Activision Blizzard Inc,6.0
INTU,Intuit Inc,5.58
EA,Electronic Arts Inc,4.73
SYMC,Symantec Corp,3.54
ADSK,Autodesk Inc,3.2
RHT,Red Hat Inc,2.77
NOW,ServiceNow Inc,2.69
CTXS,Citrix Systems Inc,2.38
SNPS,Synopsys Inc,1.97
CA,CA Inc,1.89
WDAY,Workday Inc,1.88
CDK,CDK Global Inc,1.84
ANSS,ANSYS Inc,1.71
CDNS,Cadence Design Systems Inc,1.67
OTEX,Open Text Corp,1.67
SPLK,Splunk Inc,1.53
PTC,PTC Inc,1.2
VMW,VMware Inc,1.2
SSNC,SS&C Technologies Holdings Inc,1.14
TTWO,Take-Two Interactive Software Inc,1.1
ULTI,Ultimate Software Group Inc,1.04
FTNT,Fortinet Inc,1.0
TYL,Tyler Technologies Inc,0.97
AZPN,Aspen Technology Inc,0.83
NUAN,Nuance Communications Inc,0.8
GWRE,Guidewire Software Inc,0.78
MENT,Mentor Graphics Corp,0.75
FICO,Fair Isaac Corp,0.75
MANH,Manhattan Associates Inc,0.67
BLKB,Blackbaud Inc,0.67
PFPT,Proofpoint Inc,0.63
ELLI,Ellie Mae Inc,0.61
DATA,Tableau Software Inc,0.52
ACIW,ACI Worldwide Inc,0.48
VRNT,Verint Systems Inc,0.46
PAYC,Paycom Software Inc,0.42
TIVO,TiVo Inc,0.4
ZNGA,Zynga Inc,0.4
ZEN,Zendesk Inc,0.38
CVLT,CommVault Systems Inc,0.38
HUBS,HubSpot Inc,0.37
RP,RealPage Inc,0.35
MSTR,MicroStrategy Inc,0.33
FEYE,FireEye Inc,0.3
PEGA,Pegasystems Inc,0.29
PRGS,Progress Software Corp,0.26
EBIX,Ebix Inc,0.26
IMPV,Imperva Inc,0.22
SNCR,Synchronoss Technologies Inc,0.2
GIMO,Gigamon Inc,0.19
PCTY,Paylocity Holding Corp,0.16
CUDA,Barracuda Networks Inc,0.11
