IJH,4.6840001E10
AMD,Advanced Micro Devices Inc,0.63
RMD,ResMed Inc,0.6
SIVB,SVB Financial Group,0.59
CDK,CDK Global Inc,0.59
HII,Huntington Ingalls Industries Inc,0.58
ARE,Alexandria Real Estate Equities Inc,0.58
CSC,Computer Sciences Corp,0.58
RJF,Raymond James Financial Inc,0.58
WWAV,WhiteWave Foods Co,0.57
MSCI,MSCI Inc,0.55
ANSS,ANSYS Inc,0.55
IT,Gartner Inc,0.55
CDNS,Cadence Design Systems Inc,0.53
DRE,Duke Realty Corp,0.53
DPZ,Domino's Pizza Inc,0.53
INGR,Ingredion Inc,0.51
STLD,Steel Dynamics Inc,0.51
PKG,Packaging Corp of America,0.51
TFX,Teleflex Inc,0.51
Y,Alleghany Corp,0.5
UGI,UGI Corp,0.5
RE,Everest Re Group Ltd,0.5
SBNY,Signature Bank/New York NY,0.49
ATO,Atmos Energy Corp,0.49
ALGN,Align Technology Inc,0.49
BR,Broadridge Financial Solutions Inc,0.48
VAL,Valspar Corp,0.48
RGA,Reinsurance Group of America Inc,0.47
TRMB,Trimble Navigation Ltd,0.47
EWBC,East West Bancorp Inc,0.46
LDOS,Leidos Holdings Inc,0.46
WR,Westar Energy Inc,0.46
ASH,Ashland Inc,0.45
AOS,AO Smith Corp,0.45
RPM,RPM International Inc,0.44
JKHY,Jack Henry & Associates Inc,0.44
WOOF,VCA Inc,0.44
OGE,OGE Energy Corp,0.43
MKTX,MarketAxess Holdings Inc,0.42
FDS,FactSet Research Systems Inc,0.42
IEX,IDEX Corp,0.42
CPT,Camden Property Trust,0.42
WRB,WR Berkley Corp,0.42
NVR,NVR Inc,0.42
KRC,Kilroy Realty Corp,0.41
AFG,American Financial Group Inc/OH,0.41
SEIC,SEI Investments Co,0.41
NYCB,New York Community Bancorp Inc,0.41
CSL,Carlisle Cos Inc,0.41
MAN,ManpowerGroup Inc,0.4
CGNX,Cognex Corp,0.4
TTC,Toro Co,0.4
NDSN,Nordson Corp,0.4
ARW,Arrow Electronics Inc,0.39
WAB,Wabtec Corp/DE,0.39
LII,Lennox International Inc,0.39
KEYS,Keysight Technologies Inc,0.39
PACW,PacWest Bancorp,0.39
UTHR,United Therapeutics Corp,0.39
MD,MEDNAX Inc,0.39
BEAV,B/E Aerospace Inc,0.38
PTC,PTC Inc,0.38
JBLU,JetBlue Airways Corp,0.38
X,United States Steel Corp,0.38
NNN,National Retail Properties Inc,0.38
WCG,WellCare Health Plans Inc,0.38
CC,Chemours Co,0.38
LAMR,Lamar Advertising Co,0.37
GNTX,Gentex Corp/MI,0.37
HUBB,HUBBELL INC,0.37
GXP,Great Plains Energy Inc,0.37
ACC,American Campus Communities Inc,0.37
CPRT,Copart Inc,0.37
TER,Teradyne Inc,0.36
OHI,Omega Healthcare Investors Inc,0.36
ODFL,Old Dominion Freight Line Inc,0.36
RS,Reliance Steel & Aluminum Co,0.36
WST,West Pharmaceutical Services Inc,0.36
MSCC,Microsemi Corp,0.35
DCI,Donaldson Co Inc,0.35
ENH,Endurance Specialty Holdings Ltd,0.35
OA,Orbital ATK Inc,0.35
STE,STERIS Corp,0.35
SCI,Service Corp International/US,0.35
AVT,Avnet Inc,0.35
LW,LAMB WESTON HOLDINGS INC,0.34
LPT,Liberty Property Trust,0.33
ULTI,Ultimate Software Group Inc,0.33
