ITA,5.7100001E9
BA,Boeing Co,9.97
UTX,United Technologies Corp,8.63
LMT,Lockheed Martin Corp,7.55
GD,General Dynamics Corp,6.98
RTN,Raytheon Co,6.23
NOC,Northrop Grumman Corp,5.91
ARNC,ARCONIC INC,3.53
LLL,L-3 Communications Holdings Inc,3.34
COL,Rockwell Collins Inc,3.24
TXT,Textron Inc,3.2
HII,Huntington Ingalls Industries Inc,3.0
TDG,TransDigm Group Inc,2.9
BEAV,B/E Aerospace Inc,2.36
OA,Orbital ATK Inc,2.32
SPR,Spirit AeroSystems Holdings Inc,2.28
BWXT,BWX Technologies Inc,2.09
HXL,Hexcel Corp,1.95
TDY,Teledyne Technologies Inc,1.93
CW,Curtiss-Wright Corp,1.73
MRCY,Mercury Systems Inc,1.43
KLXI,KLX Inc,1.42
ESL,Esterline Technologies Corp,1.41
ROLL,RBC Bearings Inc,1.34
MOG.A,Moog Inc,1.25
DGI,DigitalGlobe Inc,1.24
HEI,HEICO Corp,1.23
AJRD,Aerojet Rocketdyne Holdings Inc,1.1
CUB,Cubic Corp,1.02
AOBC,AMERICAN OUTDOOR BRANDS CORP,0.89
RGR,Sturm Ruger & Co Inc,0.89
TGI,Triumph Group Inc,0.88
TASR,TASER International Inc,0.87
AIR,AAR Corp,0.85
MANT,ManTech International Corp/VA,0.77
AVAV,Aerovironment Inc,0.65
ATRO,Astronics Corp,0.63
WAIR,Wesco Aircraft Holdings Inc,0.62
EGL,Engility Holdings Inc,0.56
