IVOO,8.9217997E8
WWAV,WhiteWave Foods Co,0.59
RMD,ResMed Inc,0.57
SNPS,Synopsys Inc,0.57
RJF,Raymond James Financial Inc,0.57
Y,Alleghany Corp,0.57
CDK,CDK Global Inc,0.56
INGR,Ingredion Inc,0.56
HII,Huntington Ingalls Industries Inc,0.54
RE,Everest Re Group Ltd,0.54
SIVB,SVB Financial Group,0.54
ARE,Alexandria Real Estate Equities Inc,0.53
CSC,Computer Sciences Corp,0.53
DRE,Duke Realty Corp,0.52
PKG,Packaging Corp of America,0.52
SBNY,Signature Bank/New York NY,0.51
DPZ,Domino's Pizza Inc,0.5
STLD,Steel Dynamics Inc,0.49
IT,Gartner Inc,0.49
VAL,Valspar Corp,0.48
ANSS,ANSYS Inc,0.48
RGA,Reinsurance Group of America Inc,0.48
UGI,UGI Corp,0.48
BR,Broadridge Financial Solutions Inc,0.48
ATO,Atmos Energy Corp,0.48
AMD,Advanced Micro Devices Inc,0.47
MSCI,MSCI Inc,0.47
WR,Westar Energy Inc,0.47
WAB,Wabtec Corp/DE,0.46
CDNS,Cadence Design Systems Inc,0.45
TRMB,Trimble Navigation Ltd,0.44
EWBC,East West Bancorp Inc,0.44
ASH,Ashland Inc,0.44
NYCB,New York Community Bancorp Inc,0.44
TFX,Teleflex Inc,0.44
WOOF,VCA Inc,0.44
CPT,Camden Property Trust,0.44
KRC,Kilroy Realty Corp,0.44
REG,Regency Centers Corp,0.44
AOS,AO Smith Corp,0.43
CSL,Carlisle Cos Inc,0.42
MKTX,MarketAxess Holdings Inc,0.42
JKHY,Jack Henry & Associates Inc,0.42
RPM,RPM International Inc,0.42
UTHR,United Therapeutics Corp,0.42
FDS,FactSet Research Systems Inc,0.41
LDOS,Leidos Holdings Inc,0.41
IEX,IDEX Corp,0.41
ALGN,Align Technology Inc,0.41
OGE,OGE Energy Corp,0.4
PACW,PacWest Bancorp,0.4
ARW,Arrow Electronics Inc,0.39
NVR,NVR Inc,0.39
WRB,WR Berkley Corp,0.39
SEIC,SEI Investments Co,0.39
CBOE,CBOE Holdings Inc,0.39
WCG,WellCare Health Plans Inc,0.39
TTC,Toro Co,0.39
ACC,American Campus Communities Inc,0.38
NNN,National Retail Properties Inc,0.38
MAN,ManpowerGroup Inc,0.38
JBLU,JetBlue Airways Corp,0.38
MD,MEDNAX Inc,0.38
KEYS,Keysight Technologies Inc,0.38
AFG,American Financial Group Inc/OH,0.38
HUBB,HUBBELL INC,0.38
OHI,Omega Healthcare Investors Inc,0.37
LAMR,Lamar Advertising Co,0.37
BEAV,B/E Aerospace Inc,0.37
WST,West Pharmaceutical Services Inc,0.37
ODFL,Old Dominion Freight Line Inc,0.37
MSCC,Microsemi Corp,0.36
PTC,PTC Inc,0.36
LII,Lennox International Inc,0.36
NDSN,Nordson Corp,0.36
STE,STERIS Corp,0.36
GNTX,Gentex Corp/MI,0.36
ENH,Endurance Specialty Holdings Ltd,0.36
GXP,Great Plains Energy Inc,0.35
AVT,Avnet Inc,0.35
CGNX,Cognex Corp,0.35
CPRT,Copart Inc,0.35
RS,Reliance Steel & Aluminum Co,0.35
MDU,MDU Resources Group Inc,0.34
TER,Teradyne Inc,0.34
ACM,AECOM,0.34
LPT,Liberty Property Trust,0.34
X,United States Steel Corp,0.34
ULTI,Ultimate Software Group Inc,0.34
RNR,RenaissanceRe Holdings Ltd,0.34
DCI,Donaldson Co Inc,0.33
SCI,Service Corp International/US,0.33
SON,Sonoco Products Co,0.33
ARRS,ARRIS Group Inc,0.33
DEI,Douglas Emmett Inc,0.33
POST,Post Holdings Inc,0.32
WPX,WPX Energy Inc,0.32
WTR,Aqua America Inc,0.32
BC,Brunswick Corp/DE,0.32
NCR,NCR Corp,0.32
EGN,Energen Corp,0.31
OSK,Oshkosh Corp,0.31
LW,LAMB WESTON,0.31
LECO,Lincoln Electric Holdings Inc,0.31
HIW,Highwoods Properties Inc,0.31
