IVOV,7.0521005E8
Y,Alleghany Corp,1.21
RE,Everest Re Group Ltd,1.15
RGA,Reinsurance Group of America Inc,1.03
UGI,UGI Corp,1.03
ATO,Atmos Energy Corp,1.01
ASH,Ashland Inc,0.95
NYCB,New York Community Bancorp Inc,0.95
LDOS,Leidos Holdings Inc,0.88
OGE,OGE Energy Corp,0.86
PACW,PacWest Bancorp,0.85
ARW,Arrow Electronics Inc,0.84
WRB,WR Berkley Corp,0.83
MAN,ManpowerGroup Inc,0.82
JBLU,JetBlue Airways Corp,0.81
AFG,American Financial Group Inc/OH,0.8
OHI,Omega Healthcare Investors Inc,0.8
STE,STERIS Corp,0.77
ENH,Endurance Specialty Holdings Ltd,0.76
GXP,Great Plains Energy Inc,0.76
AVT,Avnet Inc,0.76
RS,Reliance Steel & Aluminum Co,0.74
ACM,AECOM,0.73
BC,Brunswick Corp/DE,0.68
HPT,Hospitality Properties Trust,0.65
HFC,HollyFrontier Corp,0.65
OA,Orbital ATK Inc,0.65
ORI,Old Republic International Corp,0.65
PB,Prosperity Bancshares Inc,0.64
INGR,Ingredion Inc,0.63
TOL,Toll Brothers Inc,0.6
JLL,Jones Lang LaSalle Inc,0.59
NBR,Nabors Industries Ltd,0.59
EPC,Edgewell Personal Care Co,0.58
BMS,Bemis Co Inc,0.58
VVC,Vectren Corp,0.58
SNH,Senior Housing Properties Trust,0.58
CASY,Casey's General Stores Inc,0.57
JBL,Jabil Circuit Inc,0.57
OLN,Olin Corp,0.55
THS,TreeHouse Foods Inc,0.55
RJF,Raymond James Financial Inc,0.54
AGCO,AGCO Corp,0.54
TRN,Trinity Industries Inc,0.53
CSC,Computer Sciences Corp,0.53
FAF,First American Financial Corp,0.53
HAIN,Hain Celestial Group Inc,0.52
MPW,Medical Properties Trust Inc,0.52
IDA,IDACORP Inc,0.51
UMPQ,Umpqua Holdings Corp,0.51
WSM,Williams-Sonoma Inc,0.5
HBHC,Hancock Holding Co,0.48
LSI,LSI Corp,0.48
ASB,Associated Banc-Corp,0.48
DST,DST Systems Inc,0.47
FLO,Flowers Foods Inc,0.47
CST,CST Brands Inc,0.46
HE,Hawaiian Electric Industries Inc,0.46
ITT,ITT Corp,0.46
THG,Hanover Insurance Group Inc,0.45
SIVB,SVB Financial Group,0.44
SNX,SYNNEX Corp,0.44
KEX,Kirby Corp,0.44
CBT,Cabot Corp,0.44
CPT,Camden Property Trust,0.44
CXW,Corrections Corp of America,0.43
LHO,LaSalle Hotel Properties,0.43
AHL,Aspen Insurance Holdings Ltd,0.43
CIEN,Ciena Corp,0.43
OGS,ONE Gas Inc,0.43
TEX,Terex Corp,0.43
SF,Stifel Financial Corp,0.42
ESV,Ensco PLC,0.42
LNCE,Snyder's-Lance Inc,0.42
CNO,CNO Financial Group Inc,0.42
RBC,Regal Beloit Corp,0.41
NJR,New Jersey Resources Corp,0.41
RMD,ResMed Inc,0.41
ARRS,ARRIS Group Inc,0.41
WR,Westar Energy Inc,0.4
INT,World Fuel Services Corp,0.4
FNB,FNB Corp/PA,0.4
TKR,Timken Co,0.39
TFX,Teleflex Inc,0.39
VLY,Valley National Bancorp,0.39
OI,Owens-Illinois Inc,0.39
ANSS,ANSYS Inc,0.39
EGN,Energen Corp,0.39
NTCT,NetScout Systems Inc,0.39
RNR,RenaissanceRe Holdings Ltd,0.38
TECD,Tech Data Corp,0.38
CNX,CONSOL Energy Inc,0.38
TCB,TCF Financial Corp,0.38
CUZ,Cousins Properties Inc,0.37
CLH,Clean Harbors Inc,0.37
DAN,Dana Holding Corp,0.37
TDS,Telephone & Data Systems Inc,0.36
POL,PolyOne Corp,0.36
X,United States Steel Corp,0.36
LM,Legg Mason Inc,0.36
SBNY,Signature Bank/New York NY,0.35
STLD,Steel Dynamics Inc,0.35
WNR,Western Refining Inc,0.35
NWE,NorthWestern Corp,0.35
KEYS,Keysight Technologies Inc,0.35
CREE,Cree Inc,0.35
PNM,PNM Resources Inc,0.35
UFS,Domtar Corp,0.35
OII,Oceaneering International Inc,0.35
LPX,Louisiana-Pacific Corp,0.34
WAB,Wabtec Corp/DE,0.34
CATY,Cathay General Bancorp,0.34
REG,Regency Centers Corp,0.34
NNN,National Retail Properties Inc,0.34
EWBC,East West Bancorp Inc,0.34
SON,Sonoco Products Co,0.34
RPM,RPM International Inc,0.33
ACC,American Campus Communities Inc,0.33
TRMB,Trimble Navigation Ltd,0.33
QEP,QEP Resources Inc,0.33
PII,Polaris Industries Inc,0.33
HELE,Helen of Troy Ltd,0.33
WTR,Aqua America Inc,0.33
AEO,American Eagle Outfitters Inc,0.33
KLXI,KLX Inc,0.33
AVP,Avon Products Inc,0.32
WPX,WPX Energy Inc,0.32
CAA,CALATLANTIC GROU,0.32
SEIC,SEI Investments Co,0.32
ESL,Esterline Technologies Corp,0.32
BXS,BancorpSouth Inc,0.32
OSK,Oshkosh Corp,0.32
SNV,Synovus Financial Corp,0.32
TER,Teradyne Inc,0.32
GME,GameStop Corp,0.32
PTEN,Patterson-UTI Energy Inc,0.31
CFR,Cullen/Frost Bankers Inc,0.31
ATR,AptarGroup Inc,0.31
GWR,Genesee & Wyoming Inc,0.31
