IWC,9.2128998E8
MRCY,Mercury Systems Inc,0.51
NTRI,Nutrisystem Inc,0.42
AERI,Aerie Pharmaceuticals Inc,0.4
MMSI,Merit Medical Systems Inc,0.36
CSFL,CenterState Banks Inc,0.36
WD,Walker & Dunlop Inc,0.32
LKFN,Lakeland Financial Corp,0.31
SGYP,Synergy Pharmaceuticals Inc,0.3
PPBI,Pacific Premier Bancorp Inc,0.29
SASR,Sandy Spring Bancorp Inc,0.29
BPMC,Blueprint Medicines Corp,0.28
PATK,Patrick Industries Inc,0.28
HAFC,Hanmi Financial Corp,0.28
CFNL,Cardinal Financial Corp,0.27
OCLR,Oclaro Inc,0.27
BUSE,First Busey Corp,0.27
STBZ,State Bank Financial Corp,0.27
CTRE,CareTrust REIT Inc,0.27
STC,Stewart Information Services Corp,0.27
EBSB,Meridian Bancorp Inc,0.27
DENN,Denny's Corp,0.26
SYBT,Stock Yards Bancorp Inc,0.26
MNR,Monmouth Real Estate Investment Corp,0.25
AGX,Argan Inc,0.25
EXTN,EXTERRAN CORP,0.25
VVI,Viad Corp,0.25
SBSI,Southside Bancshares Inc,0.25
CUBI,Customers Bancorp Inc,0.25
XNCR,Xencor Inc,0.25
USPH,US Physical Therapy Inc,0.25
TVTY,TIVITY HEALTH INC,0.24
UBNK,United Financial Bancorp Inc,0.24
LDL,Lydall Inc,0.24
CSII,Cardiovascular Systems Inc,0.24
EFSC,Enterprise Financial Services Corp,0.24
STRA,Strayer Education Inc,0.24
KOP,Koppers Holdings Inc,0.23
LBAI,Lakeland Bancorp Inc,0.23
FSS,Federal Signal Corp,0.23
PLUS,ePlus Inc,0.23
NOVT,NOVANTA INC,0.23
MSFG,MainSource Financial Group Inc,0.23
WASH,Washington Trust Bancorp Inc,0.22
UVE,Universal Insurance Holdings Inc,0.22
WGO,Winnebago Industries Inc,0.22
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc,0.22
PGNX,Progenics Pharmaceuticals Inc,0.22
BRSS,Global Brass & Copper Holdings Inc,0.22
CASH,Meta Financial Group Inc,0.22
OCFC,OceanFirst Financial Corp,0.22
FFIC,Flushing Financial Corp,0.21
CWEI,Clayton Williams Energy Inc,0.21
AAOI,Applied Optoelectronics Inc,0.21
CORT,Corcept Therapeutics Inc,0.21
ATSG,Air Transport Services Group Inc,0.21
TMST,TimkenSteel Corp,0.21
SJW,SJW Corp,0.21
NYMT,New York Mortgage Trust Inc,0.21
LHCG,LHC Group Inc,0.21
CTBI,Community Trust Bancorp Inc,0.21
CHRS,Coherus Biosciences Inc,0.21
TCBK,TriCo Bancshares,0.21
UVSP,Univest Corp of Pennsylvania,0.21
UIS,Unisys Corp,0.21
BEAT,BioTelemetry Inc,0.21
FORM,FormFactor Inc,0.2
HFWA,Heritage Financial Corp/WA,0.2
TISI,Team Inc,0.2
CNOB,ConnectOne Bancorp Inc,0.2
UHT,Universal Health Realty Income Trust,0.2
IBTX,Independent Bank Group Inc,0.2
BMTC,Bryn Mawr Bank Corp,0.2
SBCF,Seacoast Banking Corp of Florida,0.2
ALG,Alamo Group Inc,0.2
SBY,Silver Bay Realty Trust Corp,0.19
LOXO,Loxo Oncology Inc,0.19
CASS,Cass Information Systems Inc,0.19
GABC,German American Bancorp Inc,0.19
CTS,CTS Corp,0.19
PJT,PJT PARTNERS INC CLASS A,0.19
NANO,Nanometrics Inc,0.19
CBZ,CBIZ Inc,0.19
CEVA,CEVA Inc,0.19
OFIX,Orthofix International NV,0.19
CUNB,CU Bancorp,0.19
NX,Quanex Building Products Corp,0.19
CAC,Camden National Corp,0.19
PLAB,Photronics Inc,0.19
PFBC,Preferred Bank/Los Angeles CA,0.19
GTY,Getty Realty Corp,0.19
EXTR,Extreme Networks Inc,0.19
BDGE,Bridge Bancorp Inc,0.19
ARCB,ArcBest Corp,0.19
MGPI,MGP Ingredients Inc,0.19
DCOM,Dime Community Bancshares Inc,0.18
ISLE,Isle of Capri Casinos Inc,0.18
CCF,Chase Corp,0.18
RTEC,Rudolph Technologies Inc,0.18
GTT,GTT Communications Inc,0.18
PLOW,Douglas Dynamics Inc,0.18
COBZ,CoBiz Financial Inc,0.18
NEWM,New Media Investment Group Inc,0.18
PMC,PharMerica Corp,0.18
HMST,HomeStreet Inc,0.18
BCRX,BioCryst Pharmaceuticals Inc,0.18
KAI,Kadant Inc,0.18
SUP,Superior Industries International Inc,0.18
KELYA,Kelly Services Inc,0.18
UTEK,Ultratech Inc,0.18
PDFS,PDF Solutions Inc,0.17
MYRG,MYR Group Inc,0.17
AKAO,Achaogen Inc,0.17
PRFT,Perficient Inc,0.17
CHGG,Chegg Inc,0.17
PSTB,Park Sterling Corp,0.17
SGBK,Stonegate Bank,0.17
FLIC,First of Long Island Corp,0.17
FTK,Flotek Industries Inc,0.17
IIIN,Insteel Industries Inc,0.17
UTL,Unitil Corp,0.17
FOXF,Fox Factory Holding Corp,0.17
FRAN,Francesca's Holdings Corp,0.17
RUTH,Ruth's Hospitality Group Inc,0.17
OSUR,OraSure Technologies Inc,0.17
MGNX,MacroGenics Inc,0.17
BCOR,Blucora Inc,0.17
ANIK,Anika Therapeutics Inc,0.17
HRTX,Heron Therapeutics Inc,0.17
ECHO,Echo Global Logistics Inc,0.17
MCS,Marcus Corp,0.17
INTL,INTL. FCStone Inc,0.17
VCRA,Vocera Communications Inc,0.17
LRN,K12 Inc,0.17
ORBC,ORBCOMM Inc,0.17
IMMU,Immunomedics Inc,0.17
KBAL,Kimball International Inc,0.17
HSKA,Heska Corp,0.17
FBNC,First Bancorp/Southern Pines NC,0.17
CTWS,Connecticut Water Service Inc,0.17
CAMP,CalAmp Corp,0.17
PRSC,Providence Service Corp,0.16
MHO,M/I Homes Inc,0.16
HSTM,HealthStream Inc,0.16
VSAR,Versartis Inc,0.16
ATRC,AtriCure Inc,0.16
SP,SP Plus Corp,0.16
QCRH,QCR Holdings Inc,0.16
SXC,SunCoke Energy Inc,0.16
NR,Newpark Resources Inc,0.16
NMIH,NMI Holdings Inc,0.16
NNBR,NN Inc,0.16
SCHN,Schnitzer Steel Industries Inc,0.16
MSEX,Middlesex Water Co,0.16
SN,Sanchez Energy Corp,0.16
GSBC,Great Southern Bancorp Inc,0.16
TOWR,Tower International Inc,0.16
PRO,PROS Holdings Inc,0.16
JBSS,John B Sanfilippo & Son Inc,0.16
ERI,Eldorado Resorts Inc,0.16
HBNC,Horizon Bancorp/IN,0.16
AVAV,Aerovironment Inc,0.16
ATRI,Atrion Corp,0.15
PEBO,Peoples Bancorp Inc/OH,0.15
HZO,MarineMax Inc,0.15
PIR,Pier 1 Imports Inc,0.15
FPO,First Potomac Realty Trust,0.15
VNDA,Vanda Pharmaceuticals Inc,0.15
FIVN,Five9 Inc,0.15
CCRN,Cross Country Healthcare Inc,0.15
