IWN,9.6099994E9
OLN,Olin Corp,0.56
AMD,Advanced Micro Devices Inc,0.55
NRZ,New Residential Investment Corp,0.51
WBS,Webster Financial Corp,0.5
XPO,XPO Logistics Inc,0.5
FNB,FNB Corp/PA,0.5
PB,Prosperity Bancshares Inc,0.49
PVTB,PrivateBancorp Inc,0.46
ISBC,Investors Bancorp Inc,0.43
IDA,IDACORP Inc,0.42
RDN,Radian Group Inc,0.41
POR,Portland General Electric Co,0.41
UMPQ,Umpqua Holdings Corp,0.4
MENT,Mentor Graphics Corp,0.4
WGL,WGL Holdings Inc,0.4
HPP,Hudson Pacific Properties Inc,0.4
TCBI,Texas Capital Bancshares Inc,0.4
RSPP,RSP Permian Inc,0.39
HBHC,Hancock Holding Co,0.39
WTFC,Wintrust Financial Corp,0.37
MTG,MGIC Investment Corp,0.37
PDCE,PDC Energy Inc,0.37
IBKC,IBERIABANK Corp,0.36
HR,Healthcare Realty Trust Inc,0.36
SNX,SYNNEX Corp,0.35
SWX,Southwest Gas Corp,0.35
CNO,CNO Financial Group Inc,0.35
UMBF,UMB Financial Corp,0.35
MKSI,MKS Instruments Inc,0.35
BKH,Black Hills Corp,0.35
SF,Stifel Financial Corp,0.34
OGS,ONE Gas Inc,0.34
NTCT,NetScout Systems Inc,0.34
MBFI,MB Financial Inc,0.34
TECD,Tech Data Corp,0.34
ALE,ALLETE Inc,0.33
TDY,Teledyne Technologies Inc,0.33
LNCE,Snyder's-Lance Inc,0.33
EME,EMCOR Group Inc,0.32
SHO,Sunstone Hotel Investors Inc,0.32
FULT,Fulton Financial Corp,0.32
GPT,Gramercy Property Trust Inc,0.32
LHO,LaSalle Hotel Properties,0.31
OAS,Oasis Petroleum Inc,0.31
KMT,Kennametal Inc,0.31
STL,Sterling Bancorp/DE,0.31
NJR,New Jersey Resources Corp,0.31
CACI,CACI International Inc,0.31
UBSI,United Bankshares Inc/WV,0.3
VLY,Valley National Bancorp,0.3
WAFD,Washington Federal Inc,0.3
WMGI,Wright Medical Group Inc,0.3
WNR,Western Refining Inc,0.3
SR,Standard Register Co,0.3
DAN,Dana Holding Corp,0.3
PNM,PNM Resources Inc,0.3
SANM,Sanmina Corp,0.3
CATY,Cathay General Bancorp,0.29
FNSR,Finisar Corp,0.29
NWE,NorthWestern Corp,0.29
RLJ,RLJ Lodging Trust,0.28
JOY,Joy Global Inc,0.28
CUZ,Cousins Properties Inc,0.28
CLF,Cliffs Natural Resources Inc,0.27
PNFP,Pinnacle Financial Partners Inc,0.27
SJI,South Jersey Industries Inc,0.27
BXS,BancorpSouth Inc,0.27
GBCI,Glacier Bancorp Inc,0.27
ESL,Esterline Technologies Corp,0.27
FCNCA,First Citizens BancShares Inc/NC,0.27
GWB,Great Western Bancorp Inc,0.26
HOPE,HOPE BANCORP INC,0.26
ODP,Office Depot Inc,0.26
AKS,AK Steel Holding Corp,0.26
GEO,GEO Group Inc,0.26
GLNG,Golar LNG Ltd,0.26
EDR,Education Realty Trust Inc,0.26
B,Barnes Group Inc,0.26
AVA,Avista Corp,0.25
VRNT,Verint Systems Inc,0.25
SIGI,Selective Insurance Group Inc,0.25
ABM,ABM Industries Inc,0.25
BLUE,Bluebird Bio Inc,0.25
KLXI,KLX Inc,0.25
CBU,Community Bank System Inc,0.25
GATX,GATX Corp,0.24
CLI,Mack-Cali Realty Corp,0.24
CTB,Cooper Tire & Rubber Co,0.24
MPW,Medical Properties Trust Inc,0.24
FR,First Industrial Realty Trust Inc,0.24
CHFC,Chemical Financial Corp,0.24
ONB,Old National Bancorp/IN,0.24
AXE,Anixter International Inc,0.24
MDP,Meredith Corp,0.24
CVBF,CVB Financial Corp,0.24
ENS,EnerSys,0.24
LXP,Lexington Realty Trust,0.23
SSB,South State Corp,0.23
VIAV,VIAVI SOLUTIONS INC,0.23
COLB,Columbia Banking System Inc,0.23
SEMG,SemGroup Corp,0.23
CMC,Commercial Metals Co,0.22
DRH,DiamondRock Hospitality Co,0.22
ESGR,Enstar Group Ltd,0.22
VSH,Vishay Intertechnology Inc,0.22
SFR,COLONY STARWOOD HOMES REIT,0.22
TRMK,Trustmark Corp,0.22
UNFI,United Natural Foods Inc,0.21
DV,DeVry Education Group Inc,0.21
HTH,Hilltop Holdings Inc,0.21
SWC,Stillwater Mining Co,0.21
WWW,Wolverine World Wide Inc,0.2
IBOC,International Bancshares Corp,0.2
PEB,Pebblebrook Hotel Trust,0.2
DGI,DigitalGlobe Inc,0.2
EVER,EverBank Financial Corp,0.2
UCBI,United Community Banks Inc/GA,0.2
HAE,Haemonetics Corp,0.2
EE,El Paso Electric Co,0.2
OMI,Owens & Minor Inc,0.2
EXEL,Exelixis Inc,0.2
VAC,Marriott Vacations Worldwide Corp,0.2
FMBI,First Midwest Bancorp Inc/IL,0.2
AKR,Acadia Realty Trust,0.2
AAN,Aaron's Inc,0.19
AGII,Argo Group International Holdings Ltd,0.19
TIME,Time Inc,0.19
TTEK,Tetra Tech Inc,0.19
MOG.A,Moog Inc,0.19
HL,Hecla Mining Co,0.19
SAFM,Sanderson Farms Inc,0.19
AF,Astoria Financial Corp,0.19
ATI,Allegheny Technologies Inc,0.19
