IYE,1.28E9
XOM,Exxon Mobil Corp,23.04
CVX,Chevron Corp,13.92
SLB,Schlumberger Ltd,7.56
COP,ConocoPhillips,3.84
EOG,EOG Resources Inc,3.79
OXY,Occidental Petroleum Corp,3.36
HAL,Halliburton Co,3.01
KMI,Kinder Morgan Inc/DE,2.81
APC,Anadarko Petroleum Corp,2.42
PSX,Phillips 66,2.4
PXD,Pioneer Natural Resources Co,2.11
VLO,Valero Energy Corp,2.1
MPC,Marathon Petroleum Corp,1.84
BHI,Baker Hughes Inc,1.65
WMB,Williams Cos Inc,1.59
DVN,Devon Energy Corp,1.45
APA,Apache Corp,1.31
CXO,Concho Resources Inc,1.3
FTI,FMC Technologies Inc,1.02
NOV,National Oilwell Varco Inc,1.0
NBL,Noble Energy Inc,0.99
MRO,Marathon Oil Corp,0.89
HES,Hess Corp,0.88
XEC,Cimarex Energy Co,0.79
OKE,ONEOK Inc,0.76
TRGP,Targa Resources Corp,0.74
LNG,Cheniere Energy Inc,0.71
COG,Cabot Oil & Gas Corp,0.71
EQT,EQT Corp,0.68
TSO,Tesoro Corp,0.67
FANG,Diamondback Energy Inc,0.61
HP,Helmerich & Payne Inc,0.5
OGE,OGE Energy Corp,0.49
PE,Parsley Energy Inc,0.47
NFX,Newfield Exploration Co,0.46
WFT,Weatherford International PLC,0.41
RRC,Range Resources Corp,0.35
RIG,Transocean Ltd,0.34
EGN,Energen Corp,0.34
HFC,HollyFrontier Corp,0.33
CLB,Core Laboratories NV,0.33
WPX,WPX Energy Inc,0.33
PTEN,Patterson-UTI Energy Inc,0.29
MUR,Murphy Oil Corp,0.29
CHK,Chesapeake Energy Corp,0.27
NBR,Nabors Industries Ltd,0.26
CLR,Continental Resources Inc/OK,0.26
SWN,Southwestern Energy Co,0.26
AR,Antero Resources Corp,0.23
SLCA,US Silica Holdings Inc,0.22
QEP,QEP Resources Inc,0.21
OAS,Oasis Petroleum Inc,0.21
RICE,Rice Energy Inc,0.2
WNR,Western Refining Inc,0.19
WLL,Whiting Petroleum Corp,0.18
ESV,Ensco PLC,0.17
GPOR,Gulfport Energy Corp,0.17
INT,World Fuel Services Corp,0.17
OII,Oceaneering International Inc,0.17
FSLR,First Solar Inc,0.17
PBF,PBF Energy Inc,0.16
SM,SM Energy Co,0.14
SPN,Superior Energy Services Inc,0.14
DRQ,Dril-Quip Inc,0.13
RDC,Rowan Cos Plc,0.13
SEMG,SemGroup Corp,0.12
CRZO,Carrizo Oil & Gas Inc,0.12
OIS,Oil States International Inc,0.11
NE,Noble Corp plc,0.1
DO,Diamond Offshore Drilling Inc,0.06
