IYH,2.11999987E9
JNJ,Johnson & Johnson,11.53
PFE,Pfizer Inc,6.91
MRK,Merck & Co Inc,5.86
UNH,UnitedHealth Group Inc,5.37
AMGN,Amgen Inc,4.46
MDT,Medtronic PLC,3.76
ABBV,AbbVie Inc,3.55
CELG,Celgene Corp,3.23
BMY,Bristol-Myers Squibb Co,3.16
GILD,Gilead Sciences Inc,2.96
LLY,Eli Lilly & Co,2.74
AGN,Allergan plc,2.65
ABT,Abbott Laboratories,2.56
BIIB,Biogen Inc,2.09
TMO,Thermo Fisher Scientific Inc,2.09
DHR,Danaher Corp,1.75
AET,Aetna Inc,1.54
ANTM,Anthem Inc,1.46
SYK,Stryker Corp,1.35
ESRX,Express Scripts Holding Co,1.33
CI,Cigna Corp,1.3
BDX,Becton Dickinson and Co,1.28
BSX,Boston Scientific Corp,1.1
HUM,Humana Inc,1.07
REGN,Regeneron Pharmaceuticals Inc,0.98
ISRG,Intuitive Surgical Inc,0.95
ALXN,Alexion Pharmaceuticals Inc,0.9
ZTS,Zoetis Inc,0.88
INCY,Incyte Corp,0.87
BAX,Baxter International Inc,0.85
HCA,HCA Holdings Inc,0.82
ILMN,Illumina Inc,0.8
ZBH,Zimmer Biomet Holdings Inc,0.78
VRTX,Vertex Pharmaceuticals Inc,0.77
EW,Edwards Lifesciences Corp,0.66
MYL,Mylan NV,0.64
BCR,CR Bard Inc,0.6
BMRN,BioMarin Pharmaceutical Inc,0.52
LH,Laboratory Corp of America Holdings,0.48
XRAY,DENTSPLY International Inc,0.48
HSIC,Henry Schein Inc,0.45
DGX,Quest Diagnostics Inc,0.45
IDXX,IDEXX Laboratories Inc,0.45
WAT,Waters Corp,0.41
HOLX,Hologic Inc,0.39
CNC,Centene Corp,0.38
Q,Quintiles Transnational Holdings Inc,0.36
DVA,DaVita HealthCare Partners Inc,0.35
UHS,Universal Health Services Inc,0.35
PRGO,Perrigo Co PLC,0.33
RMD,ResMed Inc,0.33
COO,Cooper Cos Inc,0.31
ALKS,ALKERMES PLC,0.28
TFX,Teleflex Inc,0.28
VAR,Varian Medical Systems Inc,0.27
JAZZ,JAZZ PHARMACEUTICALS PLC,0.27
ALGN,Align Technology Inc,0.27
EVHC,Envision Healthcare Holdings Inc,0.24
UTHR,United Therapeutics Corp,0.21
MD,MEDNAX Inc,0.21
DXCM,DexCom Inc,0.21
SGEN,Seattle Genetics Inc,0.21
WCG,WellCare Health Plans Inc,0.21
WST,West Pharmaceutical Services Inc,0.19
STE,STERIS Corp,0.19
BIVV,BIOVERATIV INC,0.18
TSRO,TESARO Inc,0.17
MNK,Mallinckrodt PLC,0.16
IONS,IONIS PHARMACEUTICALS INC,0.16
ABMD,ABIOMED Inc,0.16
CRL,Charles River Laboratories International Inc,0.14
BIO,Bio-Rad Laboratories Inc,0.14
HRC,Hill-Rom Holdings Inc,0.13
NBIX,Neurocrine Biosciences Inc,0.13
TECH,Bio-Techne Corp,0.13
BLUE,Bluebird Bio Inc,0.13
ALNY,Alnylam Pharmaceuticals Inc,0.12
HLS,HealthSouth Corp,0.12
PDCO,Patterson Cos Inc,0.12
MDCO,Medicines Co,0.12
NUVA,NuVasive Inc,0.12
KITE,Kite Pharma Inc,0.12
CTLT,Catalent Inc,0.11
ACAD,ACADIA Pharmaceuticals Inc,0.11
PRXL,PAREXEL International Corp,0.11
ALR,Alere Inc,0.11
RARE,Ultragenyx Pharmaceutical Inc,0.1
ACHC,Acadia Healthcare Co Inc,0.1
HCSG,Healthcare Services Group Inc,0.1
PBH,Prestige Brands Holdings Inc,0.09
OPK,OPKO Health Inc,0.09
BRKR,Bruker Corp,0.08
HZNP,Horizon Pharma Plc,0.08
LPNT,LifePoint Health Inc,0.08
PTLA,Portola Pharmaceuticals Inc,0.07
BKD,Brookdale Senior Living Inc,0.07
ICPT,Intercept Pharmaceuticals Inc,0.07
OMI,Owens & Minor Inc,0.07
ENDP,ENDO INTERNATIONAL PLC,0.06
LGND,Ligand Pharmaceuticals Inc,0.06
HAE,Haemonetics Corp,0.06
AKRX,Akorn Inc,0.06
MOH,Molina Healthcare Inc,0.06
HYH,Halyard Health Inc,0.06
JUNO,Juno Therapeutics Inc,0.05
PCRX,Pacira Pharmaceuticals Inc/DE,0.05
AGIO,Agios Pharmaceuticals Inc,0.05
MGLN,Magellan Health Inc,0.05
THC,Tenet Healthcare Corp,0.04
RDUS,Radius Health Inc,0.04
MYGN,Myriad Genetics Inc,0.04
XON,Intrexon Corp,0.04
VREX,VAREX IMAGING CORP,0.03
CYH,Community Health Systems Inc,0.03
IPXL,Impax Laboratories Inc,0.02
NVAX,Novavax Inc,0.01
-,DYAX CORP CVR,0.01
AQB,AQUABOUNTY TECHNOLOGIES INC,0.0
