IYJ,1.31E9
GE,General Electric Co,8.94
MMM,3M Co,3.9
BA,Boeing Co,3.48
HON,Honeywell International Inc,3.28
UNP,Union Pacific Corp,2.95
UTX,United Technologies Corp,2.94
ACN,Accenture PLC,2.62
UPS,United Parcel Service Inc,2.52
LMT,Lockheed Martin Corp,2.3
GD,General Dynamics Corp,1.86
CAT,Caterpillar Inc,1.85
PYPL,PayPal Holdings Inc,1.61
FDX,FedEx Corp,1.6
ADP,Automatic Data Processing Inc,1.6
RTN,Raytheon Co,1.54
CSX,CSX Corp,1.52
NOC,Northrop Grumman Corp,1.46
ITW,Illinois Tool Works Inc,1.45
JCI,Johnson Controls Inc,1.33
EMR,Emerson Electric Co,1.31
NSC,Norfolk Southern Corp,1.16
ETN,Eaton Corp PLC,1.13
DE,Deere & Co,1.08
WM,Waste Management Inc,1.01
TEL,TE Connectivity Ltd,0.92
FIS,Fidelity National Information Services Inc,0.92
FISV,Fiserv Inc,0.86
SHW,Sherwin-Williams Co,0.85
PCAR,PACCAR Inc,0.82
CMI,Cummins Inc,0.8
APH,Amphenol Corp,0.75
ROP,Roper Technologies Inc,0.73
PH,Parker-Hannifin Corp,0.72
IP,International Paper Co,0.71
IR,Ingersoll-Rand PLC,0.7
PAYX,Paychex Inc,0.68
ROK,Rockwell Automation Inc,0.68
FTV,FORTIVE CORP,0.61
A,Agilent Technologies Inc,0.59
EFX,Equifax Inc,0.54
VMC,Vulcan Materials Co,0.53
FLT,FleetCor Technologies Inc,0.51
FAST,Fastenal Co,0.5
RSG,Republic Services Inc,0.5
ADS,Alliance Data Systems Corp,0.48
MLM,Martin Marietta Materials Inc,0.46
GWW,WW Grainger Inc,0.46
LLL,L-3 Communications Holdings Inc,0.44
BLL,Ball Corp,0.44
WRK,WestRock Co,0.44
TXT,Textron Inc,0.43
COL,Rockwell Collins Inc,0.43
MTD,Mettler-Toledo International Inc,0.43
AME,AMETEK Inc,0.42
VRSK,Verisk Analytics Inc,0.42
DOV,Dover Corp,0.41
GPN,Global Payments Inc,0.41
ARNC,ARCONIC INC,0.4
TDG,TransDigm Group Inc,0.39
MAS,Masco Corp,0.38
CHRW,CH Robinson Worldwide Inc,0.37
URI,United Rentals Inc,0.36
PNR,Pentair PLC,0.35
CTAS,Cintas Corp,0.34
EXPD,Expeditors International of Washington Inc,0.34
HII,Huntington Ingalls Industries Inc,0.33
FBHS,Fortune Brands Home & Security Inc,0.32
KSU,Kansas City Southern,0.32
AYI,Acuity Brands Inc,0.31
TSS,Total System Services Inc,0.3
SEE,Sealed Air Corp,0.3
XYL,Xylem Inc/NY,0.29
PKG,Packaging Corp of America,0.29
HDS,HD Supply Holdings Inc,0.28
JBHT,JB Hunt Transport Services Inc,0.28
BR,Broadridge Financial Solutions Inc,0.27
VAL,Valspar Corp,0.27
TRMB,Trimble Navigation Ltd,0.27
AOS,AO Smith Corp,0.26
FLR,Fluor Corp,0.25
ST,Sensata Technologies Holding NV,0.25
SPR,Spirit AeroSystems Holdings Inc,0.25
CCK,Crown Holdings Inc,0.25
JKHY,Jack Henry & Associates Inc,0.25
ALLE,Allegion PLC,0.24
AVY,Avery Dennison Corp,0.24
IEX,IDEX Corp,0.24
SRCL,Stericycle Inc,0.24
