IYR,3.66E9
SPG,Simon Property Group Inc,5.51
AMT,American Tower Corp,5.06
PSA,Public Storage,3.43
CCI,Crown Castle International Corp,3.34
EQIX,Equinix Inc,2.82
PLD,Prologis Inc,2.76
WY,Weyerhaeuser Co,2.61
AVB,AvalonBay Communities Inc,2.6
HCN,Health Care REIT Inc,2.51
EQR,Equity Residential,2.39
VTR,Ventas Inc,2.19
BXP,Boston Properties Inc,2.1
VNO,Vornado Realty Trust,1.85
DLR,Digital Realty Trust Inc,1.71
O,Realty Income Corp,1.57
ESS,Essex Property Trust Inc,1.56
SBAC,SBA Communications Corp,1.49
HCP,HCP Inc,1.45
GGP,General Growth Properties Inc,1.42
HST,Host Hotels & Resorts Inc,1.39
MAA,Mid-America Apartment Communities Inc,1.18
NLY,Annaly Capital Management Inc,1.14
SLG,SL Green Realty Corp,1.13
CBG,CBRE Group Inc,1.11
ARE,Alexandria Real Estate Equities Inc,1.01
KIM,Kimco Realty Corp,1.0
REG,Regency Centers Corp,0.99
UDR,UDR Inc,0.99
FRT,Federal Realty Investment Trust,0.98
EXR,Extra Space Storage Inc,0.97
DRE,Duke Realty Corp,0.93
IRM,Iron Mountain Inc,0.87
VER,VEREIT Inc,0.85
MAC,Macerich Co,0.8
CLNS,COLONY NORTHSTAR INC CLASS A,0.76
CPT,Camden Property Trust,0.73
KRC,Kilroy Realty Corp,0.72
AIV,Apartment Investment & Management Co,0.71
WPC,WP Carey Inc,0.67
AGNC,American Capital Agency Corp,0.66
NNN,National Retail Properties Inc,0.66
LAMR,Lamar Advertising Co,0.64
ACC,American Campus Communities Inc,0.64
ELS,Equity LifeStyle Properties Inc,0.64
OHI,Omega Healthcare Investors Inc,0.63
GLPI,Gaming and Leisure Properties Inc,0.62
BRX,Brixmor Property Group Inc,0.59
STWD,Starwood Property Trust Inc,0.59
LPT,Liberty Property Trust,0.58
DEI,Douglas Emmett Inc,0.57
SUI,Sun Communities Inc,0.55
HPP,Hudson Pacific Properties Inc,0.55
NRZ,New Residential Investment Corp,0.52
JLL,Jones Lang LaSalle Inc,0.51
HIW,Highwoods Properties Inc,0.51
SRC,Spirit Realty Capital Inc,0.51
AMH,American Homes 4 Rent,0.5
FCEA,FOREST CITY REALTY REIT CLASS A IN,0.5
CUBE,CubeSmart,0.48
EPR,EPR Properties,0.47
HPT,Hospitality Properties Trust,0.46
HTA,Healthcare Trust of America Inc,0.44
DCT,DCT Industrial Trust Inc,0.43
HHC,Howard Hughes Corp,0.43
SNH,Senior Housing Properties Trust,0.42
DDR,DDR Corp,0.41
TCO,Taubman Centers Inc,0.41
MPW,Medical Properties Trust Inc,0.41
LSI,LSI Corp,0.4
EQC,Equity Commonwealth,0.4
RLGY,Realogy Holdings Corp,0.4
WRI,Weingarten Realty Investors,0.4
CXW,Corrections Corp of America,0.39
CONE,CyrusOne Inc,0.38
GPT,Gramercy Property Trust Inc,0.37
DFT,DuPont Fabros Technology Inc,0.37
UNIT,UNITI GROUP INC,0.37
STOR,STORE Capital Corp,0.37
OUT,Outfront Media Inc,0.37
HR,Healthcare Realty Trust Inc,0.37
RYN,Rayonier Inc,0.36
CIM,Chimera Investment Corp,0.36
RPAI,Retail Properties of America Inc,0.36
CUZ,Cousins Properties Inc,0.34
GEO,GEO Group Inc,0.34
TWO,Two Harbors Investment Corp,0.34
LHO,LaSalle Hotel Properties,0.34
RHP,Ryman Hospitality Properties Inc,0.33
SHO,Sunstone Hotel Investors Inc,0.33
OFC,Corporate Office Properties Trust,0.32
PDM,Piedmont Office Realty Trust Inc,0.32
SKT,Tanger Factory Outlet Centers Inc,0.32
FR,First Industrial Realty Trust Inc,0.31
PK,PARK HOTELS RESORTS INC,0.31
COR,CoreSite Realty Corp,0.31
APLE,APPLE HOSPITALITY REIT INC,0.3
MFA,MFA Financial Inc,0.3
EDR,Education Realty Trust Inc,0.3
PGRE,Paramount Group Inc,0.29
BXMT,Blackstone Mortgage Trust Inc,0.29
RLJ,RLJ Lodging Trust,0.29
BDN,Brandywine Realty Trust,0.29
NHI,National Health Investors Inc,0.29
CXP,Columbia Property Trust Inc,0.28
DOC,Physicians Realty Trust,0.26
AKR,Acadia Realty Trust,0.25
CLI,Mack-Cali Realty Corp,0.25
UE,Urban Edge Properties,0.25
EGP,EastGroup Properties Inc,0.24
WRE,Washington Real Estate Investment Trust,0.23
DRH,DiamondRock Hospitality Co,0.22
LXP,Lexington Realty Trust,0.22
CCP,CARE CAPITAL PROPERTIES INC,0.21
PEB,Pebblebrook Hotel Trust,0.21
ALEX,Alexander & Baldwin Inc,0.2
XHR,Xenia Hotels & Resorts Inc,0.18
PCH,Potlatch Corp,0.18
KRG,Kite Realty Group Trust,0.18
QCP,QUALITY CARE PROPERTIES INC,0.17
IVR,Invesco Mortgage Capital Inc,0.17
CBL,CBL & Associates Properties Inc,0.17
WPG,WP GLIMCHER Inc,0.16
FCPT,FOUR CORNERS PROPERTY INC TRUST,0.13
JOE,St Joe Co,0.12
CYS,CYS Investments Inc,0.12
PKY,Parkway Properties Inc/Md,0.08
