IYT,9.4229997E8
FDX,FedEx Corp,12.65
NSC,Norfolk Southern Corp,7.67
UPS,United Parcel Service Inc,7.03
UNP,Union Pacific Corp,6.87
ALK,Alaska Air Group Inc,6.19
JBHT,JB Hunt Transport Services Inc,6.17
KSU,Kansas City Southern,4.98
LSTR,Landstar System Inc,4.82
R,Ryder System Inc,4.66
KEX,Kirby Corp,4.66
CHRW,CH Robinson Worldwide Inc,4.56
EXPD,Expeditors International of Washington Inc,4.41
UAL,United Continental Holdings Inc,4.35
CSX,CSX Corp,4.02
LUV,Southwest Airlines Co,3.94
DAL,Delta Air Lines Inc,3.42
AAL,American Airlines Group Inc,2.96
CAR,Avis Budget Group Inc,2.45
MATX,Matson Inc,2.32
JBLU,JetBlue Airways Corp,1.58
