JKD,1.05999994E9
AAPL,Apple Inc,12.92
MSFT,Microsoft Corp,8.69
JNJ,Johnson & Johnson,4.83
GE,General Electric Co,4.21
INTC,Intel Corp,2.88
PEP,PepsiCo Inc,2.76
MO,Altria Group Inc,2.56
AMGN,Amgen Inc,2.36
ORCL,Oracle Corp,2.24
MMM,3M Co,2.0
MDT,Medtronic PLC,1.99
SLB,Schlumberger Ltd,1.94
ABBV,AbbVie Inc,1.88
BA,Boeing Co,1.78
HON,Honeywell International Inc,1.68
USB,US Bancorp,1.53
UNP,Union Pacific Corp,1.51
QCOM,QUALCOMM Inc,1.5
CVS,CVS Health Corp,1.48
LLY,Eli Lilly & Co,1.45
ABT,Abbott Laboratories,1.36
TWX,Time Warner Inc,1.33
UPS,United Parcel Service Inc,1.29
DD,EI du Pont de Nemours & Co,1.24
CHTR,Charter Communications Inc,1.23
MDLZ,Mondelez International Inc,1.2
LMT,Lockheed Martin Corp,1.18
CL,Colgate-Palmolive Co,1.15
NEE,NextEra Energy Inc,1.08
EOG,EOG Resources Inc,0.98
GD,General Dynamics Corp,0.96
DHR,Danaher Corp,0.94
MON,Monsanto Co,0.87
D,Dominion Resources Inc/VA,0.86
KMB,Kimberly-Clark Corp,0.85
FDX,FedEx Corp,0.83
AET,Aetna Inc,0.82
RTN,Raytheon Co,0.8
HAL,Halliburton Co,0.78
NOC,Northrop Grumman Corp,0.76
ITW,Illinois Tool Works Inc,0.75
ESRX,Express Scripts Holding Co,0.72
CI,Cigna Corp,0.7
MMC,Marsh & McLennan Cos Inc,0.68
GIS,General Mills Inc,0.64
NSC,Norfolk Southern Corp,0.61
DAL,Delta Air Lines Inc,0.61
PX,Praxair Inc,0.6
LUV,Southwest Airlines Co,0.59
HUM,Humana Inc,0.58
MCK,McKesson Corp,0.56
WM,Waste Management Inc,0.53
PPG,PPG Industries Inc,0.49
SRE,Sempra Energy,0.49
CAH,Cardinal Health Inc,0.48
TEL,TE Connectivity Ltd,0.48
SYY,Sysco Corp,0.47
GLW,Corning Inc,0.46
HCA,HCA Holdings Inc,0.45
HCN,Health Care REIT Inc,0.44
CCL,Carnival Corp,0.43
ZBH,Zimmer Biomet Holdings Inc,0.43
PGR,Progressive Corp,0.42
NWL,Newell Rubbermaid Inc,0.42
WMB,Williams Cos Inc,0.42
VTR,Ventas Inc,0.38
LVS,Las Vegas Sands Corp,0.37
OMC,Omnicom Group Inc,0.36
TSN,Tyson Foods Inc,0.33
TMUS,T-Mobile US Inc,0.33
VFC,VF Corp,0.32
FOX,Twenty-First Century Fox Inc,0.27
LB,L Brands Inc,0.22
SCCO,Southern Copper Corp,0.12
