JKE,9.5726003E8
AMZN,Amazon.com Inc,5.84
FB,Facebook Inc,5.68
GOOG,Google Inc,4.37
CVX,Chevron Corp,3.57
HD,Home Depot Inc,3.13
CMCSA,Comcast Corp,3.12
V,Visa Inc,2.91
DIS,Walt Disney Co,2.84
UNH,UnitedHealth Group Inc,2.84
MA,MasterCard Inc,1.85
MCD,McDonald's Corp,1.84
CELG,Celgene Corp,1.7
BMY,Bristol-Myers Squibb Co,1.67
AVGO,Avago Technologies Ltd,1.56
PCLN,Priceline Group Inc,1.51
TXN,Texas Instruments Inc,1.42
AGN,Allergan plc,1.4
SBUX,Starbucks Corp,1.37
ACN,Accenture PLC,1.34
NKE,NIKE Inc,1.33
WBA,Walgreens Boots Alliance Inc,1.27
COST,Costco Wholesale Corp,1.26
LOW,Lowe's Cos Inc,1.25
BIIB,Biogen Inc,1.1
TMO,Thermo Fisher Scientific Inc,1.1
NFLX,Netflix Inc,1.08
ADBE,Adobe Systems Inc,1.05
NVDA,NVIDIA Corp,0.96
KHC,Kraft Heinz Co,0.95
SPG,Simon Property Group Inc,0.92
CRM,salesforce.com inc,0.92
SCHW,Charles Schwab Corp,0.89
TJX,TJX Cos Inc,0.89
BK,Bank of New York Mellon Corp,0.88
RAI,Reynolds American Inc,0.87
AMT,American Tower Corp,0.85
BLK,BlackRock Inc,0.82
ADP,Automatic Data Processing Inc,0.82
PYPL,PayPal Holdings Inc,0.82
CME,CME Group Inc/IL,0.73
AMAT,Applied Materials Inc,0.73
SYK,Stryker Corp,0.71
YHOO,Yahoo! Inc,0.7
BDX,Becton Dickinson and Co,0.68
ICE,Intercontinental Exchange Inc,0.62
CTSH,Cognizant Technology Solutions Corp,0.62
BSX,Boston Scientific Corp,0.58
ATVI,Activision Blizzard Inc,0.58
SPGI,S&P GLOBAL INC,0.58
PSA,Public Storage,0.57
ECL,Ecolab Inc,0.57
CCI,Crown Castle International Corp,0.56
TSLA,Tesla Motors Inc,0.55
AON,Aon PLC,0.54
PXD,Pioneer Natural Resources Co,0.54
INTU,Intuit Inc,0.52
REGN,Regeneron Pharmaceuticals Inc,0.52
APD,Air Products & Chemicals Inc,0.52
STZ,Constellation Brands Inc,0.5
ISRG,Intuitive Surgical Inc,0.5
MAR,Marriott International Inc/MD,0.48
FIS,Fidelity National Information Services Inc,0.47
EA,Electronic Arts Inc,0.47
EQIX,Equinix Inc,0.47
ALXN,Alexion Pharmaceuticals Inc,0.47
ROST,Ross Stores Inc,0.46
ZTS,Zoetis Inc,0.46
PLD,Prologis Inc,0.46
CBS,CBS Corp,0.44
FISV,Fiserv Inc,0.44
ORLY,O'Reilly Automotive Inc,0.44
BAX,Baxter International Inc,0.44
SHW,Sherwin-Williams Co,0.43
AVB,AvalonBay Communities Inc,0.43
ILMN,Illumina Inc,0.42
VRTX,Vertex Pharmaceuticals Inc,0.4
APH,Amphenol Corp,0.38
YUM,Yum! Brands Inc,0.38
AZO,AutoZone Inc,0.35
BXP,Boston Properties Inc,0.35
PAYX,Paychex Inc,0.35
EW,Edwards Lifesciences Corp,0.34
MNST,Monster Beverage Corp,0.33
DG,Dollar General Corp,0.32
MCO,Moody's Corp,0.32
EL,Estee Lauder Cos Inc,0.32
TAP,Molson Coors Brewing Co,0.31
CERN,Cerner Corp,0.29
LVLT,Level 3 Communications Inc,0.29
FLT,FleetCor Technologies Inc,0.26
GGP,General Growth Properties Inc,0.23
HLT,Hilton Worldwide Holdings Inc,0.19
HRL,Hormel Foods Corp,0.16
SIRI,Sirius XM Holdings Inc,0.15
