KBE,4.26999987E9
SIVB,SVB Financial Group,2.54
BAC,Bank of America Corp,2.47
PNC,PNC Financial Services Group Inc,2.47
JPM,JPMorgan Chase & Co,2.43
MTB,M&T Bank Corp,2.41
FRC,First Republic Bank/CA,2.4
STI,SunTrust Banks Inc,2.39
USB,US Bancorp,2.39
OZRK,Bank of the Ozarks Inc,2.36
CFG,Citizens Financial Group Inc,2.35
HBAN,Huntington Bancshares Inc/OH,2.34
WFC,Wells Fargo & Co,2.33
RF,Regions Financial Corp,2.33
ZION,Zions Bancorporation,2.31
C,Citigroup Inc,2.3
CMA,Comerica Inc,2.3
SBNY,Signature Bank/New York NY,2.27
NTRS,Northern Trust Corp,2.27
BBT,BB&T Corp,2.25
BK,Bank of New York Mellon Corp,2.25
KEY,KeyCorp,2.25
FITB,Fifth Third Bancorp,2.23
VOYA,Voya Financial Inc,2.23
CIT,CIT Group Inc,2.19
PBCT,People's United Financial Inc,2.13
NYCB,New York Community Bancorp Inc,1.91
EWBC,East West Bancorp Inc,1.75
MTG,MGIC Investment Corp,1.73
CFR,Cullen/Frost Bankers Inc,1.65
SNV,Synovus Financial Corp,1.6
RDN,Radian Group Inc,1.58
PACW,PacWest Bancorp,1.54
PVTB,PrivateBancorp Inc,1.42
FHN,First Horizon National Corp,1.4
WAL,Western Alliance Bancorp,1.33
BKU,BankUnited Inc,1.31
ISBC,Investors Bancorp Inc,1.29
UMPQ,Umpqua Holdings Corp,1.24
WBS,Webster Financial Corp,1.2
TCBI,Texas Capital Bancshares Inc,1.18
FNB,FNB Corp/PA,1.17
IBKC,IBERIABANK Corp,0.97
PB,Prosperity Bancshares Inc,0.97
HBHC,Hancock Holding Co,0.95
BPOP,Popular Inc,0.94
VLY,Valley National Bancorp,0.9
CBSH,Commerce Bancshares Inc/MO,0.84
ASB,Associated Banc-Corp,0.79
MBFI,MB Financial Inc,0.78
ESNT,Essent Group Ltd,0.76
BXS,BancorpSouth Inc,0.72
WTFC,Wintrust Financial Corp,0.7
HOMB,Home BancShares Inc/AR,0.67
STL,Sterling Bancorp/DE,0.66
BOH,Bank of Hawaii Corp,0.66
UBSI,United Bankshares Inc/WV,0.66
TCB,TCF Financial Corp,0.65
FULT,Fulton Financial Corp,0.6
GWB,Great Western Bancorp Inc,0.6
PNFP,Pinnacle Financial Partners Inc,0.55
CATY,Cathay General Bancorp,0.52
UMBF,UMB Financial Corp,0.51
ONB,Old National Bancorp/IN,0.48
HOPE,Hope Bancorp Inc.,0.46
WAFD,Washington Federal Inc,0.45
TRMK,Trustmark Corp,0.37
CVBF,CVB Financial Corp,0.36
GBCI,Glacier Bancorp Inc,0.34
46729666,SSC GOVERNMENT MM GVXX STIF USD,0.3
Identifier,Name,0.0
CASH_USD,U.S. Dollar,0.0
