MOAT,1.44E9
AMGN,Amgen Inc,2.71
CBG,CBRE Group Inc,2.7
FOXA,Twenty-First Century Fox Inc,2.68
LLY,Eli Lilly & Co,2.67
DIS,Walt Disney Co,2.59
AGN,Allergan plc,2.59
CRM,salesforce.com inc,2.58
AXP,American Express Co,2.57
VAR,Varian Medical Systems Inc,2.53
ABC,AmerisourceBergen Corp,2.52
AMZN,Amazon.com Inc,2.52
BRK.B,Berkshire Hathaway Inc,2.52
V,Visa Inc,2.51
WFC,Wells Fargo & Co,2.51
PII,Polaris Industries Inc,2.49
LOW,Lowe's Cos Inc,2.48
EMR,Emerson Electric Co,2.47
MA,MasterCard Inc,2.47
SRCL,Stericycle Inc,2.46
MON,Monsanto Co,2.41
BIIB,Biogen Inc,2.39
UTX,United Technologies Corp,2.38
BMY,Bristol-Myers Squibb Co,2.36
JLL,Jones Lang LaSalle Inc,2.34
MCK,McKesson Corp,2.18
SBUX,Starbucks Corp,2.17
VFC,VF Corp,2.11
CMP,Compass Minerals International Inc,2.09
GILD,Gilead Sciences Inc,2.06
ESRX,Express Scripts Holding Co,2.01
CSX,CSX Corp,1.83
DE,Deere & Co,1.48
TIF,Tiffany & Co,1.46
TWX,Time Warner Inc,1.41
MJN,Mead Johnson Nutrition Co,1.4
USB,US Bancorp,1.39
GWRE,Guidewire Software Inc,1.38
NSC,Norfolk Southern Corp,1.36
CERN,Cerner Corp,1.36
HOG,Harley-Davidson Inc,1.34
ZBH,Zimmer Biomet Holdings Inc,1.33
PDCO,Patterson Cos Inc,1.33
MDT,Medtronic PLC,1.32
BK,Bank of New York Mellon Corp,1.29
PFE,Pfizer Inc,1.28
STT,State Street Corp,1.27
MDLZ,Mondelez International Inc,1.24
MSFT,Microsoft Corp,1.24
CVS,CVS Health Corp,1.15
TDG,TransDigm Group Inc,1.08
