MOO,9.2590003E8
SYT,Syngenta AG,8.6
MON,Monsanto Co,8.19
DE,Deere & Co,7.23
ZTS,Zoetis Inc,6.62
ADM,Archer-Daniels-Midland Co,5.71
6326 JP,Kubota Corp,4.88
TSN,Tyson Foods Inc,4.55
POT,Potash Corp of Saskatchewan Inc,4.11
AGU,Agrium Inc,3.47
IDXX,IDEXX Laboratories Inc,3.26
BG,Bunge Ltd,3.07
CNHI,CNH Industrial NV,2.9
MOS,Mosaic Co,2.71
TSCO,Tractor Supply Co,2.32
TWE.AX,Treasury Wine Estates Ltd,2.14
YAR NO,Yara International ASA,2.07
WIL SP,Wilmar International Ltd,2.05
MHG NO,Marine Harvest ASA,1.93
TTC,Toro Co,1.78
FMC,FMC Corp,1.77
CF,CF Industries Holdings Inc,1.67
SDF GR,K+S AG,1.59
2282 JP,NH Foods Ltd,1.53
IPL.AX,Incitec Pivot Ltd,1.38
CPF-R TB,Charoen Pokphand Foods PCL,1.29
AGCO,AGCO Corp,0.92
IOI MK,IOI Corp Bhd,0.92
KLK MK,Kuala Lumpur Kepong Bhd,0.78
ICL,Israel Chemicals Ltd,0.75
RAIL3 BZ,Rumo Sa,0.68
PEP MK,PPB Group Bhd,0.64
PHOR.LS,PhosAgro OAO,0.62
CPIN IJ,Charoen Pokphand Indonesia Tbk PT,0.58
NEOG,Neogen Corp,0.58
SQM,Sociedad Quimica y Minera de Chile SA,0.55
BCPC,Balchem Corp,0.55
SAFM,Sanderson Farms Inc,0.51
BAKKA NO,Bakkafrost P/F,0.49
LSG NO,Leroy Seafood Group ASA,0.48
6863 HK,China Huishan Dairy Holdings Co Ltd,0.46
GGR SP,Golden Agri-Resources Ltd,0.45
PPC,Pilgrim's Pride Corp,0.42
NUF.AX,Nufarm Ltd/Australia,0.39
041960 KS,Komipharm International Co Ltd,0.34
1722 TT,Taiwan Fertilizer Co Ltd,0.34
OCI NA,OCI NV,0.34
530 HK,Goldin Financial Holdings Ltd,0.29
ANDE,Andersons Inc,0.26
TON SJ,Tongaat Hulett Ltd,0.26
KER PW,Kernel Holding Sa,0.23
FGV MK,Felda Global Ventures Holdings Bhd,0.22
FR SP,First Resources Ltd,0.22
