MTUM,7.2600003E9
FB,Facebook Inc,5.53
AMZN,Amazon.com Inc,5.17
PG,Procter & Gamble Co,5.12
JNJ,Johnson & Johnson,4.86
MSFT,Microsoft Corp,4.39
UNH,UnitedHealth Group Inc,3.7
QCOM,QUALCOMM Inc,2.64
NVDA,NVIDIA Corp,2.62
TXN,Texas Instruments Inc,2.61
GOOG,Google Inc,2.54
AVGO,Avago Technologies Ltd,2.21
AMAT,Applied Materials Inc,2.0
NEE,NextEra Energy Inc,1.78
CHTR,Charter Communications Inc,1.61
HPE,HEWLETT PACKARD ENTERPRISE,1.53
ADBE,Adobe Systems Inc,1.44
LMT,Lockheed Martin Corp,1.38
AMT,American Tower Corp,1.18
NOC,Northrop Grumman Corp,1.12
ITW,Illinois Tool Works Inc,1.11
RAI,Reynolds American Inc,1.09
SYK,Stryker Corp,1.05
WM,Waste Management Inc,1.03
DHR,Danaher Corp,1.01
RTN,Raytheon Co,1.0
SPGI,S&P GLOBAL INC,0.99
SO,Southern Co,0.96
SYMC,Symantec Corp,0.91
BDX,Becton Dickinson and Co,0.81
ATVI,Activision Blizzard Inc,0.79
PLD,Prologis Inc,0.77
GLW,Corning Inc,0.74
MU,Micron Technology Inc,0.71
AON,Aon PLC,0.69
BAX,Baxter International Inc,0.69
APH,Amphenol Corp,0.68
ISRG,Intuitive Surgical Inc,0.66
STZ,Constellation Brands Inc,0.65
EQIX,Equinix Inc,0.63
LRCX,Lam Research Corp,0.61
LVS,Las Vegas Sands Corp,0.61
EIX,Edison International,0.57
TSN,Tyson Foods Inc,0.57
SYY,Sysco Corp,0.56
TDG,TransDigm Group Inc,0.56
TMUS,T-Mobile US Inc,0.55
IDXX,IDEXX Laboratories Inc,0.54
NEM,Newmont Mining Corp,0.52
WCN,Waste Connections Inc,0.51
VTR,Ventas Inc,0.51
RSG,Republic Services Inc,0.5
PFG,Principal Financial Group Inc,0.5
MCHP,Microchip Technology Inc,0.49
FITB,Fifth Third Bancorp,0.48
XEL,Xcel Energy Inc,0.47
CSC,Computer Sciences Corp,0.47
ADSK,Autodesk Inc,0.45
ULTA,Ulta Salon Cosmetics & Fragrance Inc,0.44
DTE,DTE Energy Co,0.43
DPZ,Domino's Pizza Inc,0.43
ALB,Albemarle Corp,0.41
MTD,Mettler-Toledo International Inc,0.4
DLR,Digital Realty Trust Inc,0.39
SNPS,Synopsys Inc,0.38
CAG,ConAgra Foods Inc,0.38
AWK,American Water Works Co Inc,0.36
TAP,Molson Coors Brewing Co,0.36
WEC,WEC Energy Group Inc,0.35
L,Loews Corp,0.35
STX,Seagate Technology PLC,0.34
NTAP,NetApp Inc,0.33
WWAV,WhiteWave Foods Co,0.32
EFX,Equifax Inc,0.31
MELI,MercadoLibre Inc,0.31
OKE,ONEOK Inc,0.31
DRE,Duke Realty Corp,0.31
FFIV,F5 Networks Inc,0.3
INGR,Ingredion Inc,0.3
WR,Westar Energy Inc,0.3
CTAS,Cintas Corp,0.29
CINF,Cincinnati Financial Corp,0.29
VMC,Vulcan Materials Co,0.29
PE,Parsley Energy Inc,0.29
AKAM,Akamai Technologies Inc,0.29
UGI,UGI Corp,0.28
XYL,Xylem Inc/NY,0.28
CNP,CenterPoint Energy Inc,0.27
CHD,Church & Dwight Co Inc,0.27
HII,Huntington Ingalls Industries Inc,0.26
LNT,Alliant Energy Corp,0.26
ARE,Alexandria Real Estate Equities Inc,0.26
MRVL,Marvell Technology Group Ltd,0.25
PKG,Packaging Corp of America,0.25
CMS,CMS Energy Corp,0.25
AEE,Ameren Corp,0.24
MLM,Martin Marietta Materials Inc,0.24
SCG,SCANA Corp,0.24
FLEX,Flextronics International Ltd,0.23
LBRDK,Liberty Broadband Corp,0.22
RGA,Reinsurance Group of America Inc,0.22
S,Sprint Corp,0.22
VAR,Varian Medical Systems Inc,0.22
PNW,Pinnacle West Capital Corp,0.21
VMW,VMware Inc,0.21
ALGN,Align Technology Inc,0.2
VNTV,Vantiv Inc,0.2
AOS,AO Smith Corp,0.19
MSCI,MSCI Inc,0.18
BEAV,B/E Aerospace Inc,0.18
SGEN,Seattle Genetics Inc,0.18
JEC,Jacobs Engineering Group Inc,0.18
ATO,Atmos Energy Corp,0.17
GRMN,Garmin Ltd,0.16
NI,NiSource Inc,0.16
LPT,Liberty Property Trust,0.16
SPB,Spectrum Brands Holdings Inc,0.15
Z,Zillow Group Inc,0.14
ZAYO,Zayo Group Holdings Inc,0.14
DKS,Dick's Sporting Goods Inc,0.11
CLR,Continental Resources Inc/OK,0.11
