NFRA,8.8180998E8
T,AT&T INC COMMON STOCK USD 1,5.0
VZ,VERIZON COMMUNICATIONS INC COMMON STOCK USD 0.1,4.15
CMCSA,COMCAST CORP COMMON STOCK USD 0.01,3.7
CNR,CANADIAN NATIONAL RAILWAY CO COMMON STOCK CAD 0,3.5
ENB,ENBRIDGE INC COMMON STOCK CAD 0,3.17
9020 JP,EAST JAPAN RAILWAY CO COMMON STOCK JPY,2.47
9022 JP,CENTRAL JAPAN RAILWAY CO COMMON STOCK JPY,2.39
DPW GR,DEUTSCHE POST AG COMMON STOCK EUR 0,2.3
NG..LS,NATIONAL GRID PLC COMMON STOCK GBP 11.39535,2.23
UNP,UNION PACIFIC CORP COMMON STOCK USD 2.5,2.22
IBE SM,IBERDROLA SA COMMON STOCK EUR 0.75,1.82
TRP,TRANSCANADA CORP COMMON STOCK CAD 0,1.73
ENEL IM,ENEL SPA COMMON STOCK EUR 1,1.62
CP,CANADIAN PACIFIC RAILWAY LTD,1.56
NEE,NEXTERA ENERGY INC COMMON STOCK USD 0.01,1.54
DUK,DUKE ENERGY CORP COMMON STOCK USD 0.001,1.43
VOD.LS,VODAFONE GROUP PLC COMMON STOCK GBP 0.2095,1.35
9984 JP,SOFTBANK GROUP CORP COMMON STOCK JPY,1.3
TCL.AX,TRANSURBAN GROUP STAPLED SECURITY AUD 0,1.23
9432 JP,NIPPON TELEGRAPH & TELEPHONE CORP COMMON STOCK JPY,1.23
D,DOMINION RESOURCES INC/VA COMMON STOCK USD 0,1.21
941 HK,CHINA MOBILE LTD COMMON STOCK HKD 0,1.21
CSX,CSX CORP COMMON STOCK USD 1,1.15
WCN,WASTE CONNECTIONS INC,1.1
KMI,KINDER MORGAN INC/DE COMMON STOCK USD 0.01,1.09
DTE GR,DEUTSCHE TELEKOM AG COMMON STOCK EUR 0,1.09
ENGI FP,ENGIE SA COMMON STOCK EUR 1,1.03
AMT,AMERICAN TOWER CORP REIT USD 0.01,0.99
TEF SM,TELEFONICA SA COMMON STOCK EUR 1,0.97
9433 JP,KDDI CORP COMMON STOCK JPY,0.97
9021 JP,WEST JAPAN RAILWAY CO COMMON STOCK JPY,0.92
NSC,NORFOLK SOUTHERN CORP COMMON STOCK USD 1,0.88
SSE.LS,SSE PLC COMMON STOCK GBP 50,0.87
TLS.AX,TELSTRA CORP LTD COMMON STOCK AUD 0,0.87
EXC,EXELON CORP COMMON STOCK USD 0,0.85
PCG,PG&E CORP COMMON STOCK USD 0,0.84
AEP,AMERICAN ELECTRIC POWER CO INC COMMON STOCK USD,0.83
ATL IM,ATLANTIA SPA COMMON STOCK EUR 1,0.82
AENA SM,AENA SA COMMON STOCK EUR 10,0.77
WM,WASTE MANAGEMENT INC COMMON STOCK USD 0.01,0.77
SYD.AX,SYDNEY AIRPORT STAPLED SECURITY AUD 0,0.76
BCE,BCE INC COMMON STOCK CAD 0,0.75
ABE SM,ABERTIS INFRAESTRUCTURAS SA COMMON STOCK EUR 3,0.73
BT.A.LS,BT GROUP PLC COMMON STOCK GBP 5,0.72
SRE,SEMPRA ENERGY COMMON STOCK USD 0,0.7
VIE FP,VEOLIA ENVIRONNEMENT SA COMMON STOCK EUR 5,0.7
EOAN GR,E.ON SE COMMON STOCK EUR 0,0.68
HCA,HCA HOLDINGS INC COMMON STOCK USD 0.01,0.68
EIX,EDISON INTERNATIONAL COMMON STOCK USD 0,0.66
PPL,PPL CORP COMMON STOCK USD 0.01,0.64
