NOBL,3.76E9
ADP,Automatic Data Processing Inc,0.0
PPG,PPG Industries Inc,0.0
BF.B,BROWN-FORMAN CORP,0.0
EMR,Emerson Electric Co,0.0
T,AT&T Inc,0.0
VFC,VF Corp,0.0
ECL,Ecolab Inc,0.0
CTAS,Cintas Corp,0.0
LEG,Leggett & Platt Inc,0.0
AFL,Aflac Inc,0.0
PNR,Pentair PLC,0.0
KO,Coca-Cola Co,0.0
ADM,Archer-Daniels-Midland Co,0.0
TGT,Target Corp,0.0
CVX,Chevron Corp,0.0
APD,Air Products & Chemicals Inc,0.0
FRT,Federal Realty Investment Trust,0.0
HRL,Hormel Foods Corp,0.0
XOM,Exxon Mobil Corp,0.0
GPC,Genuine Parts Co,0.0
TROW,T Rowe Price Group Inc,0.0
SYY,Sysco Corp,0.0
GWW,WW Grainger Inc,0.0
DOV,Dover Corp,0.0
PG,Procter & Gamble Co,0.0
WMT,Wal-Mart Stores Inc,0.0
ED,Consolidated Edison Inc,0.0
CL,Colgate-Palmolive Co,0.0
ABBV,AbbVie Inc,0.0
KMB,Kimberly-Clark Corp,0.0
MDT,Medtronic PLC,0.0
SHW,Sherwin-Williams Co,0.0
CAH,Cardinal Health Inc,0.0
ABT,Abbott Laboratories,0.0
LOW,Lowe's Cos Inc,0.0
SPGI,S&P GLOBAL INC,0.0
CLX,Clorox Co,0.0
JNJ,Johnson & Johnson,0.0
MMM,3M Co,0.0
BCR,CR Bard Inc,0.0
WBA,Walgreens Boots Alliance Inc,0.0
MCD,McDonald's Corp,0.0
ITW,Illinois Tool Works Inc,0.0
NUE,Nucor Corp,0.0
PEP,PepsiCo Inc,0.0
BDX,Becton Dickinson and Co,0.0
CINF,Cincinnati Financial Corp,0.0
BEN,Franklin Resources Inc,0.0
SWK,Stanley Black & Decker Inc,0.0
GD,General Dynamics Corp,0.0
MKC,McCormick & Co Inc/MD,0.0
