PDP,1.68E9
AAPL,Apple Inc,3.37
PCLN,Priceline Group Inc,3.03
AMT,American Tower Corp,2.91
DPZ,Domino's Pizza Inc,2.61
MKTX,MarketAxess Holdings Inc,2.61
ORLY,O'Reilly Automotive Inc,2.34
MIC,Macquarie Infrastructure Corp,2.23
ACGL,Arch Capital Group Ltd,2.22
JBHT,JB Hunt Transport Services Inc,2.14
MA,MasterCard Inc,2.01
ROL,Rollins Inc,1.98
ROP,Roper Technologies Inc,1.92
BLL,Ball Corp,1.91
WRB,WR Berkley Corp,1.89
MO,Altria Group Inc,1.68
LMT,Lockheed Martin Corp,1.65
WST,West Pharmaceutical Services Inc,1.58
ALK,Alaska Air Group Inc,1.51
APH,Amphenol Corp,1.47
RNR,RenaissanceRe Holdings Ltd,1.45
AMZN,Amazon.com Inc,1.4
OZRK,Bank of the Ozarks Inc,1.37
FISV,Fiserv Inc,1.33
AMD,Advanced Micro Devices Inc,1.25
UGI,UGI Corp,1.21
NOC,Northrop Grumman Corp,1.2
UNP,Union Pacific Corp,1.2
DHR,Danaher Corp,1.18
MIDD,Middleby Corp,1.07
MTD,Mettler-Toledo International Inc,1.06
CBS,CBS Corp,1.02
ABMD,ABIOMED Inc,1.02
TDG,TransDigm Group Inc,1.01
SIRI,Sirius XM Holdings Inc,0.96
ULTI,Ultimate Software Group Inc,0.93
CPRT,Copart Inc,0.91
ODFL,Old Dominion Freight Line Inc,0.9
AOS,AO Smith Corp,0.85
COO,Cooper Cos Inc,0.84
NVDA,NVIDIA Corp,0.83
ECL,Ecolab Inc,0.78
STZ,Constellation Brands Inc,0.76
WAL,Western Alliance Bancorp,0.75
CB,Chubb Corp,0.71
TDY,Teledyne Technologies Inc,0.71
WTM,White Mountains Insurance Group Ltd,0.7
IEX,IDEX Corp,0.7
EA,Electronic Arts Inc,0.7
MKL,Markel Corp,0.69
BDX,Becton Dickinson and Co,0.69
IPGP,IPG Photonics Corp,0.69
AZO,AutoZone Inc,0.68
IFF,International Flavors & Fragrances Inc,0.68
X,United States Steel Corp,0.67
CBRL,Cracker Barrel Old Country Store Inc,0.66
MPWR,Monolithic Power Systems Inc,0.66
CDNS,Cadence Design Systems Inc,0.65
FB,Facebook Inc,0.65
CHTR,Charter Communications Inc,0.64
PNRA,Panera Bread Co,0.63
IDXX,IDEXX Laboratories Inc,0.63
HII,Huntington Ingalls Industries Inc,0.63
CMS,CMS Energy Corp,0.63
AFG,American Financial Group Inc/OH,0.62
TTWO,Take-Two Interactive Software Inc,0.61
RPM,RPM International Inc,0.61
NEE,NextEra Energy Inc,0.6
DFS,Discover Financial Services,0.59
TTC,Toro Co,0.59
CSC,Computer Sciences Corp,0.59
TJX,TJX Cos Inc,0.58
MTN,Vail Resorts Inc,0.58
AMP,Ameriprise Financial Inc,0.58
POOL,Pool Corp,0.57
WAT,Waters Corp,0.57
SWK,Stanley Black & Decker Inc,0.57
V,Visa Inc,0.57
SIG,Signet Jewelers Ltd,0.56
TSRO,TESARO Inc,0.56
FICO,Fair Isaac Corp,0.56
JKHY,Jack Henry & Associates Inc,0.56
HD,Home Depot Inc,0.55
NUVA,NuVasive Inc,0.55
FANG,Diamondback Energy Inc,0.54
ALGN,Align Technology Inc,0.54
AZPN,Aspen Technology Inc,0.54
ATO,Atmos Energy Corp,0.53
LII,Lennox International Inc,0.52
DLX,Deluxe Corp,0.52
UNH,UnitedHealth Group Inc,0.51
INTU,Intuit Inc,0.51
COST,Costco Wholesale Corp,0.5
FR,First Industrial Realty Trust Inc,0.48
TXRH,Texas Roadhouse Inc,0.47
CRUS,Cirrus Logic Inc,0.46
CASY,Casey's General Stores Inc,0.45
JBLU,JetBlue Airways Corp,0.44
WPX,WPX Energy Inc,0.42
CHK,Chesapeake Energy Corp,0.4
CNX,CONSOL Energy Inc,0.4
