PHO,8.734E8
ROP,Roper Technologies Inc,8.9
WAT,Waters Corp,8.87
DHR,Danaher Corp,8.43
ECL,Ecolab Inc,8.09
HDS,HD Supply Holdings Inc,8.03
TTC,Toro Co,4.38
PNR,Pentair PLC,4.11
WTR,Aqua America Inc,4.02
AOS,AO Smith Corp,4.01
AWK,American Water Works Co Inc,4.01
IEX,IDEX Corp,3.76
XYL,Xylem Inc/NY,3.54
SBS,Cia de Saneamento Basico do Estado de Sao Paulo,3.29
VMI,Valmont Industries Inc,3.18
ITRI,Itron Inc,2.84
TTEK,Tetra Tech Inc,2.33
MWA,Mueller Water Products Inc,2.19
RXN,Rexnord Corp,1.91
WTS,Watts Water Technologies Inc,1.45
WMS,Advanced Drainage Systems Inc,1.36
LNN,Lindsay Corp,1.35
ERII,Energy Recovery Inc,1.23
CWT,California Water Service Group,1.08
AWR,American States Water Co,1.08
FELE,Franklin Electric Co Inc,1.08
BMI,Badger Meter Inc,0.99
SJW,SJW Corp,0.72
AEGN,Aegion Corp,0.64
CCC,Calgon Carbon Corp,0.55
CTWS,Connecticut Water Service Inc,0.38
MSEX,Middlesex Water Co,0.34
GRC,Gorman-Rupp Co,0.19
624756AE2,Mueller Industries Inc,0.13
LAYN,Layne Christensen Co,0.13
CWCO,Consolidated Water Co Ltd,0.12
ARTNA,Artesian Resources Corp,0.12
GWRS,Global Water Resources Inc,0.03
