PWV,1.54E9
JNJ,Johnson & Johnson,3.53
AMGN,Amgen Inc,3.49
AAPL,Apple Inc,3.42
BAC,Bank of America Corp,3.41
T,AT&T Inc,3.38
PFE,Pfizer Inc,3.38
CSCO,Cisco Systems Inc,3.35
JPM,JPMorgan Chase & Co,3.35
WFC,Wells Fargo & Co,3.34
C,Citigroup Inc,3.34
ORCL,Oracle Corp,3.33
WMT,Wal-Mart Stores Inc,3.29
MRK,Merck & Co Inc,3.27
INTC,Intel Corp,3.23
IBM,International Business Machines Corp,3.22
MU,Micron Technology Inc,1.58
TEL,TE Connectivity Ltd,1.47
CMI,Cummins Inc,1.47
ANTM,Anthem Inc,1.47
ETN,Eaton Corp PLC,1.46
PGR,Progressive Corp,1.46
WDC,Western Digital Corp,1.46
VLO,Valero Energy Corp,1.46
ALL,Allstate Corp,1.46
BIIB,Biogen Inc,1.46
DOW,Dow Chemical Co,1.45
PCAR,PACCAR Inc,1.45
EXC,Exelon Corp,1.44
TSN,Tyson Foods Inc,1.43
BEN,Franklin Resources Inc,1.43
PRU,Prudential Financial Inc,1.43
TRV,Travelers Cos Inc,1.43
STT,State Street Corp,1.42
HPQ,Hewlett-Packard Co,1.42
GM,General Motors Co,1.42
MCK,McKesson Corp,1.42
GLW,Corning Inc,1.41
AXP,American Express Co,1.41
UNP,Union Pacific Corp,1.41
MS,Morgan Stanley,1.4
LYB,LyondellBasell Industries NV,1.39
PNC,PNC Financial Services Group Inc,1.39
STI,SunTrust Banks Inc,1.38
FITB,Fifth Third Bancorp,1.37
LUV,Southwest Airlines Co,1.35
ESRX,Express Scripts Holding Co,1.33
DAL,Delta Air Lines Inc,1.33
AAL,American Airlines Group Inc,1.3
UAL,United Continental Holdings Inc,1.3
TGT,Target Corp,1.19
