RFG,6.3251002E8
IDCC,InterDigital Inc/PA,2.39
WBMD,WebMD Health Corp,2.37
KATE,Kate Spade & Co,2.25
CGNX,Cognex Corp,2.14
ALGN,Align Technology Inc,2.12
ABMD,ABIOMED Inc,2.09
MKTX,MarketAxess Holdings Inc,1.94
NUVA,NuVasive Inc,1.88
SLM,SLM Corp,1.79
DPZ,Domino's Pizza Inc,1.78
LOGM,LogMeIn Inc,1.77
THO,Thor Industries Inc,1.68
WCG,WELLCARE GROUP INC.,1.67
CRUS,CIRRUS LOGIC INC,1.61
PKG,PACKAGING CORP AMER,1.55
WWAV,WhiteWave Foods Co,1.53
FHN,First Horizon National Corp,1.46
PRI,Primerica Inc,1.45
RGLD,Royal Gold Inc,1.44
WOOF,VCA Inc,1.43
UNIT,UNITI GROUP INC,1.42
SKX,SKECHERS U.S.A. INC,1.37
MTX,MINERALS TECHNOLOGIES INC,1.34
CPRT,COPART INC.,1.3
EXP,EAGLE MATERIALS INC.,1.28
NDSN,NORDSON CORP,1.27
PZZA,PAPA JOHN'S INTERNATIONAL,1.21
FR,FIRST INDUSTRIAL REALTY T,1.21
MSCC,MICROSEMI CORP,1.2
MPWR,MONOLITHIC POWER SYSTEMS,1.2
BIVV,BIOVERATIV INC,1.2
KRC,KILROY REALTY CORP,1.15
CSL,CARLISLE COS INC,1.12
CLGX,CORELOGIC INC.,1.08
DKS,DICK'S SPORTING GOODS INC,1.07
CAR,AVIS BUDGET GROUP INC,1.07
WEN,Wendy's Co,1.06
JACK,Jack in the Box Inc,1.05
HLS,HealthSouth Corp,1.05
NCR,NCR Corp,1.05
LFUS,Littelfuse Inc,1.04
GVA,Granite Construction Inc,1.04
POST,Post Holdings Inc,1.01
DCT,DCT Industrial Trust Inc,1.01
TXRH,Texas Roadhouse Inc,1.0
MSM,MSC Industrial Direct Co Inc,1.0
ODFL,Old Dominion Freight Line Inc,0.99
TTC,Toro Co,0.97
MMS,MAXIMUS Inc,0.97
CHDN,Churchill Downs Inc,0.97
GNTX,GENTEX CORPORATION,0.96
EDR,Education Realty Trust Inc,0.95
BRO,BROWN & BROWN INC.,0.95
ULTI,ULTIMATE SOFTWARE GROUP I,0.95
SAIC,Science Applications International Corp,0.95
NVR,NVR Inc,0.94
WOR,Worthington Industries Inc,0.92
TECH,Bio-Techne Corp,0.92
MSCI,MSCI Inc,0.9
SWX,SOUTHWEST GAS HOLDINGS,0.85
DNKN,Dunkin' Brands Group Inc,0.85
POOL,Pool Corp,0.85
IT,Gartner Inc,0.81
MENT,Mentor Graphics Corp,0.81
PNRA,Panera Bread Co,0.8
WAFD,Washington Federal Inc,0.77
OZRK,Bank of the Ozarks Inc,0.77
LAMR,Lamar Advertising Co,0.77
ZBRA,Zebra Technologies Corp,0.75
LSTR,Landstar System Inc,0.74
WRI,Weingarten Realty Investors,0.71
AKRX,Akorn Inc,0.71
HII,Huntington Ingalls Industries Inc,0.7
AOS,SMITH (A.O.) CORPORATION,0.7
BID,Sotheby's,0.7
IDTI,Integrated Device Technology Inc,0.7
FICO,Fair Isaac Corp,0.67
BWLD,Buffalo Wild Wings Inc,0.67
DRE,Duke Realty Corp,0.66
MDU,MDU Resources Group Inc,0.65
CAKE,CHEESECAKE FACTORY THE,0.64
IPGP,IPG PHOTONICS CORP,0.63
WWD,Woodward Inc,0.6
CR,CRANE COMPANY,0.59
LPT,Liberty Property Trust,0.58
CW,Curtiss-Wright Corp,0.57
BR,Broadridge Financial Solutions Inc,0.56
EAT,Brinker International Inc,0.55
ENS,EnerSys,0.54
CVLT,CommVault Systems Inc,0.51
