RPV,1.0E9
ARNC,ARCONIC INC.,2.34
BRK.B,Berkshire Hathaway Inc,2.3
GM,General Motors Co,1.92
VLO,Valero Energy Corp,1.73
CNC,Centene Corp,1.72
PRU,Prudential Financial Inc,1.69
ANTM,Anthem Inc,1.69
ADM,Archer-Daniels-Midland Co,1.61
F,Ford Motor Co,1.57
AIZ,Assurant Inc,1.54
CTL,CenturyLink Inc,1.51
LUK,Leucadia National Corp,1.5
FSLR,First Solar Inc,1.39
UNM,Unum Group,1.38
TSO,TESORO CORPORATION,1.37
XL,XL Group PLC,1.35
HIG,Hartford Financial Services Group Inc,1.33
LNC,Lincoln National Corp,1.32
XRX,Xerox Corp,1.31
MET,MetLife Inc,1.31
AN,AutoNation Inc,1.3
MPC,Marathon Petroleum Corp,1.26
GT,Goodyear Tire & Rubber Co,1.25
CAH,Cardinal Health Inc,1.25
ALL,Allstate Corp,1.22
PHM,PulteGroup Inc,1.2
MCK,McKesson Corp,1.14
RIG,Transocean Ltd,1.13
SPLS,Staples Inc,1.12
FLR,Fluor Corp,1.11
L,Loews Corp,1.11
BAC,Bank of America Corp,1.09
LEN,LENNAR CORPORATION,1.07
CVS,CVS HEALTH CORP.,1.06
DHI,D.R.HORTON INC.,1.05
WMT,WAL-MART STORES INC,1.05
COF,CAPITAL ONE FINANCIAL,1.04
C,Citigroup Inc,1.04
EXC,Exelon Corp,1.04
ABC,AmerisourceBergen Corp,1.03
HPE,HEWLETT PACKARD ENTERPRIS,1.01
ETR,ENTERGY CORPORATION,0.99
AIG,AMER INT'L GROUP INC.,0.97
TSN,TYSON FOODS INC.,0.96
MOS,Mosaic Co,0.95
KR,Kroger Co,0.87
MNK,Mallinckrodt PLC,0.86
TRV,Travelers Cos Inc,0.85
AFL,Aflac Inc,0.85
FTR,Frontier Communications Corp,0.83
RF,Regions Financial Corp,0.83
R,Ryder System Inc,0.82
WHR,Whirlpool Corp,0.82
MS,Morgan Stanley,0.81
KSS,Kohl's Corp,0.79
WRK,WestRock Co,0.79
ESRX,Express Scripts Holding Co,0.79
PSX,Phillips 66,0.79
FE,FirstEnergy Corp,0.77
AGN,Allergan plc,0.77
PDCO,Patterson Cos Inc,0.75
STI,SunTrust Banks Inc,0.75
JEC,Jacobs Engineering Group Inc,0.74
NRG,NRG Energy Inc,0.73
AES,AES Corp/VA,0.71
BBBY,Bed Bath & Beyond Inc,0.71
CB,Chubb Corp,0.7
BWA,BorgWarner Inc,0.67
DUK,Duke Energy Corp,0.65
PFG,Principal Financial Group Inc,0.64
JPM,JPMorgan Chase & Co,0.62
GS,Goldman Sachs Group Inc,0.6
WFM,Whole Foods Market Inc,0.59
PGR,Progressive Corp,0.59
ZION,Zions Bancorporation,0.58
M,Macy's Inc,0.57
PNC,PNC Financial Services Group Inc,0.57
FITB,Fifth Third Bancorp,0.56
ED,Consolidated Edison Inc,0.56
TXT,Textron Inc,0.55
COST,Costco Wholesale Corp,0.55
PVH,PVH Corp,0.53
CI,Cigna Corp,0.53
HPQ,Hewlett-Packard Co,0.52
GPS,Gap Inc,0.52
PBCT,People's United Financial Inc,0.51
JCI,Johnson Controls Inc,0.48
DVA,DaVita HealthCare Partners Inc,0.46
ES,Eversource Energy,0.45
PEG,Public Service Enterprise Group Inc,0.44
BBT,BB&T Corp,0.44
WFC,Wells Fargo & Co,0.44
BK,Bank of New York Mellon Corp,0.43
NAVI,Navient Corp,0.42
WBA,Walgreens Boots Alliance Inc,0.42
TMK,Torchmark Corp,0.41
T,AT&T Inc,0.41
HBAN,Huntington Bancshares Inc/OH,0.4
AEE,Ameren Corp,0.4
DAL,Delta Air Lines Inc,0.4
TGT,Target Corp,0.39
ETN,Eaton Corp PLC,0.39
CCL,Carnival Corp,0.38
WDC,Western Digital Corp,0.38
AAL,American Airlines Group Inc,0.38
TGNA,TEGNA Inc,0.38
XEL,Xcel Energy Inc,0.37
DTE,DTE Energy Co,0.36
EMN,Eastman Chemical Co,0.35
NWS,News Corp,0.33
MRO,Marathon Oil Corp,0.33
IVZ,Invesco Ltd,0.33
STT,State Street Corp,0.33
SIG,Signet Jewelers Ltd,0.26
