RWO,2.76999987E9
SPG,Simon Property Group Inc,5.32
PSA,Public Storage,3.31
PLD,Prologis Inc,2.67
AVB,AvalonBay Communities Inc,2.51
HCN,Welltower Inc.,2.42
EQR,Equity Residential,2.3
B1YY4B,Unibail-Rodamco SE,2.23
8801,Mitsui Fudosan Co Ltd,2.19
VTR,Ventas Inc,2.12
BXP,Boston Properties Inc,2.03
VNO,Vornado Realty Trust,1.79
BLZH0Z,Scentre Group,1.66
DLR,Digital Realty Trust Inc,1.65
ESS,Essex Property Trust Inc,1.51
B0PB4M,Link Real Estate Investment Trust,1.45
HCP,HCP Inc,1.4
GGP,GGP Inc.,1.37
HST,Host Hotels & Resorts Inc,1.35
BMMVVX,Westfield Corp.,1.23
MAA,Mid-America Apartment Communities Inc,1.14
SLG,SL Green Realty Corp,1.09
318094,Land Securities Group PLC,1.0
ARE,Alexandria Real Estate Equities Inc,0.97
REG,Regency Centers Corp,0.97
KIM,Kimco Realty Corp,0.96
UDR,UDR Inc,0.95
FRT,Federal Realty Investment Trust,0.95
EXR,Extra Space Storage Inc,0.94
B03FYZ,Goodman Group,0.9
DRE,Duke Realty Corp,0.9
643491,Hongkong Land Holdings Limited,0.82
MAC,Macerich Co,0.77
758255,Klepierre SA,0.77
8951,Nippon Building Fund Inc,0.75
013670,British Land Company PLC,0.75
CPT,Camden Property Trust,0.7
KRC,Kilroy Realty Corp,0.7
AIV,Apartment Investment and Management Company Class A,0.69
B033YN,Dexus Property Group,0.68
636586,GPT Group,0.67
630930,CapitaLand Limited,0.66
8952,Japan Real Estate Investment Corp.,0.66
681884,SM Prime Holdings Inc.,0.65
ACC,American Campus Communities Inc,0.62
ELS,Equity LifeStyle Properties Inc,0.61
B083BH,Swiss Prime Site AG,0.6
BRX,Brixmor Property Group Inc.,0.57
B4KJWS,Global Logistic Properties Limited,0.57
LPT,Liberty Property Trust,0.56
DEI,Douglas Emmett Inc,0.55
040650,Hammerson plc,0.54
SUI,Sun Communities Inc,0.53
HPP,Hudson Pacific Properties Inc,0.53
603050,Hang Lung Properties Limited,0.53
HPT,Hospitality Properties Trust,0.5
8953,Japan Retail Fund Investment Corporation,0.5
B9G6L8,LEG Immobilien AG,0.5
774246,Gecina SA,0.5
HIW,Highwoods Properties Inc,0.49
BBGB5W,Growthpoint Properties Limited,0.49
AMH,American Homes 4 Rent Class A,0.48
FCE.A,Forest City Realty Trust Inc Class A,0.48
CUBE,CubeSmart,0.47
SNH,Senior Housing Properties Trust,0.46
B5ZN1N,SEGRO plc,0.45
8960,United Urban Investment Corporation,0.44
3003,Hulic Co Ltd,0.44
774563,Fonciere des Regions SA,0.42
DCT,DCT Industrial Trust Inc,0.42
656387,Ascendas Real Estate Investment Trust,0.41
8954,Orix JREIT Inc,0.4
DDR,DDR Corp,0.4
TCO,Taubman Centers Inc,0.4
LSI,Life Storage Inc.,0.38
EQC,Equity Commonwealth,0.38
WRI,Weingarten Realty Investors,0.38
642012,CapitaLand Mall Trust,0.36
DFT,DuPont Fabros Technology Inc,0.36
026527,Derwent London plc,0.35
HR,Healthcare Realty Trust Incorporated,0.35
B01287,PSP Swiss Property AG,0.35
B0XP0T,Castellum AB,0.35
8955,Japan Prime Realty Investment Corporation,0.34
CUZ,Cousins Properties Incorporated,0.33
LHO,LaSalle Hotel Properties,0.32
SHO,Sunstone Hotel Investors Inc,0.31
OFC,Corporate Office Properties Trust,0.31
PDM,Piedmont Office Realty Trust Inc,0.31
B04PZ7,Suntec Real Estate Investment Trust,0.31
SKT,Tanger Factory Outlet Centers Inc,0.31
FR.TO,First Majestic Silver Corp,0.3
3279,Activia Properties Inc,0.3
079909,Shaftesbury PLC,0.3
REI.U.TO,RioCan Real Estate Investment Trust,0.3
068343,Intu Properties plc,0.3
APLE,Apple Hospitality REIT Inc,0.29
EDR,Education Realty Trust Inc,0.29
644962,Hysan Development Co. Ltd.,0.28
BDN,Brandywine Realty Trust,0.28
RLJ,RLJ Lodging Trust,0.28
3289,Tokyu Fudosan Holdings Corp,0.28
CXP,Columbia Property Trust Inc.,0.27
B1RYG5,BR Malls Participacoes S.A.,0.26
B01FLL,Great Portland Estates plc,0.26
B62G9D,Capital & Counties Properties PLC,0.25
AKR,Acadia Realty Trust,0.25
CLI,Mack-Cali Realty Corp,0.24
UE,Urban Edge Properties,0.23
EGP,EastGroup Properties Inc,0.23
HR.U,H&R Real Estate Investment Trust Stapled Units Cons of 1 H&R REIT Ut + 1 H&R Finance Trust Ut,0.23
WRE,Washington Real Estate Investment Trust,0.23
B011YD,CapitaLand Commercial Trust,0.23
8972,Kenedix Office Investment Corporation,0.22
ROIC,Retail Opportunity Investments Corp,0.22
B1Y4VX,Fabege AB,0.22
417798,Cofinimmo SA,0.22
DRH,DiamondRock Hospitality Co,0.21
PSB,PS Business Parks Inc,0.21
BN8SXL,Hyprop Investments Limited,0.21
B013L1,Central Pattana Public Co. Ltd. NVDR,0.21
620569,Investa Office Fund,0.21
FCR.TO,First Capital Realty Inc,0.2
CCP,Care Capital Properties Inc.,0.2
8964,Frontier Real Estate Investment Corporation,0.2
PEB,Pebblebrook Hotel Trust,0.2
3234,Mori Hills Reit Investment Corporation,0.18
XHR,Xenia Hotels & Resorts Inc.,0.17
LTC,LTC Properties Inc,0.17
8905,Aeon Mall Co Ltd,0.17
KRG,Kite Realty Group Trust,0.17
494862,Wereldhave N.V.,0.17
QCP,Quality Care Properties Inc.,0.17
SFR,Colony Starwood Homes,0.16
8976,Daiwa Office Investment Corporation,0.16
CBL,CBL & Associates Properties Inc,0.16
MORE,Monogram Residential Trust Inc,0.16
479827,Eurocommercial Cert.Of Shs,0.16
