RWX,3.94E9
B1YY4B,Unibail-Rodamco SE,6.02
8801,Mitsui Fudosan Co Ltd,5.89
BLZH0Z,Scentre Group,4.47
B0PB4M,Link Real Estate Investment Trust,3.92
BMMVVX,Westfield Corp.,3.31
318094,Land Securities Group PLC,2.7
B03FYZ,Goodman Group,2.43
643491,Hongkong Land Holdings Limited,2.21
758255,Klepierre SA,2.08
013670,British Land Company PLC,2.02
8951,Nippon Building Fund Inc,2.01
B033YN,Dexus Property Group,1.83
636586,GPT Group,1.8
630930,CapitaLand Limited,1.79
8952,Japan Real Estate Investment Corp.,1.77
681884,SM Prime Holdings Inc.,1.74
B083BH,Swiss Prime Site AG,1.63
B4KJWS,Global Logistic Properties Limited,1.54
040650,Hammerson plc,1.47
603050,Hang Lung Properties Limited,1.43
8953,Japan Retail Fund Investment Corporation,1.35
B9G6L8,LEG Immobilien AG,1.34
774246,Gecina SA,1.34
BBGB5W,Growthpoint Properties Limited,1.31
B5ZN1N,SEGRO plc,1.23
8960,United Urban Investment Corporation,1.19
3003,Hulic Co Ltd,1.18
774563,Fonciere des Regions SA,1.14
656387,Ascendas Real Estate Investment Trust,1.1
8954,Orix JREIT Inc,1.09
642012,CapitaLand Mall Trust,0.98
026527,Derwent London plc,0.96
B01287,PSP Swiss Property AG,0.96
B0XP0T,Castellum AB,0.95
8955,Japan Prime Realty Investment Corporation,0.94
B04PZ7,Suntec Real Estate Investment Trust,0.84
3279,Activia Properties Inc,0.82
079909,Shaftesbury PLC,0.82
REI.U.TO,RioCan Real Estate Investment Trust,0.81
068343,Intu Properties plc,0.81
644962,Hysan Development Co. Ltd.,0.77
3289,Tokyu Fudosan Holdings Corp,0.76
B01FLL,Great Portland Estates plc,0.7
B1RYG5,BR Malls Participacoes S.A.,0.7
B62G9D,Capital & Counties Properties PLC,0.69
HR.U,H&R Real Estate Investment Trust Stapled Units Cons of 1 H&R REIT Ut + 1 H&R Finance Trust Ut,0.62
B011YD,CapitaLand Commercial Trust,0.62
8972,Kenedix Office Investment Corporation,0.61
B1Y4VX,Fabege AB,0.6
417798,Cofinimmo SA,0.59
B013L1,Central Pattana Public Co. Ltd. NVDR,0.57
620569,Investa Office Fund,0.57
BN8SXL,Hyprop Investments Limited,0.57
FCR.TO,First Capital Realty Inc,0.55
8964,Frontier Real Estate Investment Corporation,0.54
3234,Mori Hills Reit Investment Corporation,0.48
8905,Aeon Mall Co Ltd,0.47
494862,Wereldhave N.V.,0.46
479827,Eurocommercial Cert.Of Shs,0.44
8976,Daiwa Office Investment Corporation,0.44
567991,IMMOFINANZ AG,0.43
8987,Japan Excellent Inc,0.42
CAR.U.TO,Canadian Apartment Properties REIT,0.42
3292,AEON REIT Investment Corp.,0.4
SRU.U,Smart Real Estate Investment Trust,0.4
3295,Hulic Reit Inc.,0.4
8961,Mori Trust Sogo Reit Inc,0.39
568104,CA Immobilien Anlagen AG,0.39
BLMP1D,BUWOG AG,0.39
8848,Leopalace21 Corporation,0.37
REF,Canadian Real Estate Investment Trust,0.34
B12RQH,Keppel REIT,0.34
028694,Big Yellow Group PLC,0.34
B04V12,Grainger plc,0.34
B14WZ4,Champion Real Estate Investment Trust,0.33
8956,Premier Investment Corporation,0.32
8968,Fukuoka Reit Corporation,0.31
8957,Tokyu REIT Inc,0.31
8986,Japan Rental Housing Investments Inc.,0.31
B0D6P4,Mapletree Logistics Trust,0.3
B67G5X,Workspace Group PLC,0.29
622559,Charter Hall Retail REIT,0.28
612745,BWP Trust,0.27
408262,Befimmo SA,0.26
BTDY2M,Kiwi Property Group Ltd.,0.26
8933,Ntt Urban Development Corporation,0.25
B0LMF8,Mercialys SA,0.25
3278,Kenedix Residential Investment Corporation,0.24
3453,Kenedix Retail REIT Corp,0.23
B12W4C,Kungsleden AB,0.23
3287,Hoshino Resorts REIT Inc.,0.22
3227,MCUBS MidCity Investment Corporation,0.21
8977,Hankyu Reit Inc,0.2
BEI.U,Boardwalk REIT,0.2
D.U,Dream Office Real Estate Investment Trust Class A,0.2
AX,Artis Real Estate Investment Trust,0.19
629919,Goodman Property Trust,0.18
609327,Precinct Properties New Zealand Ltd.,0.17
BZ1C8N,SA Corporate Real Estate Ltd.,0.16
580813,Beni Stabili S.p.A. SIIQ,0.16
674472,Robinsons Land Corp.,0.16
B3DCF7,Atrium European Real Estate Limited,0.16
3462,Nomura Real Estate Master Fund Inc.,0.15
B0HZGR,Starhill Global Real Estate Investment Trust,0.15
492719,Vastned N.V.,0.14
8958,Global One Real Estate Investment Corporation,0.14
BNGNB7,Merlin Properties SOCIMI S.A,0.13
8803,Heiwa Real Estate Co Ltd,0.12
B6ZFBN,Argosy Property Limited,0.11
8806,Daibiru Corporation,0.11
B11HJT,Frasers Commercial Trust,0.1
BMP385,Redefine Properties Ltd.,0.1
B671GT,Fibra Uno Administracion SA de CV,0.1
3283,Nippon Prologis REIT Inc,0.09
B0PVBN,Prosperity Real Estate Investment Trust,0.09
46729666,SSC GOVERNMENT MM GVXX STIF USD,0.09
BY8L4Z,Gateway Lifestyle Group,0.09
CRR.U,Crombie Real Estate Investment Trust,0.09
B18TLR,Cambridge Industrial Trust,0.09
3269,Advance Residence Investment Corporation,0.08
8984,Daiwa House REIT Investment Corporation,0.08
3281,GLP-J REIT,0.07
678673,GuocoLand Limited,0.07
8985,Japan Hotel Reit Investment Corporation,0.06
B06HD8,Astro Japan Property Group Limited,0.05
B05QNL,Immobiliare Grande Distribuzione SIIQ S.p.A.,0.05
CASH_EUR,Euro,0.05
3463,Ichigo Hotel REIT Investment Corp.,0.05
BDZT4M,Segro PLC (REIT) Rights Issue 17 For Rg shares (Nil Paid),0.05
475497,Deutsche EuroShop AG,0.04
8963,Invincible Investment Corp.,0.03
CASH_PHP,Philippines Peso,0.02
CASH_CAD,Canadian Dollar,0.01
Identifier,Name,0.0
BF0B36,Kungsleden AB Rights 2017-24.03.17 For Shares Kungsleden Rg I17,0.0
CASH_JPY,Japanese Yen,0.0
CASH_CHF,Swiss Franc,0.0
CASH_GBP,British Pounds,0.0
CASH_AUD,Australian Dollar,0.0
CASH_THB,Thailand Baht,0.0
CASH_BRL,Brazilian Real,0.0
CASH_SEK,Swedish Krona,0.0
CASH_NOK,Norwegian Krone,0.0
CASH_HKD,Hong Kong Dollar,0.0
929AQT90,GPT GROUP,0.0
CASH_MXN,Mexican Peso,0.0
CASH_NZD,New Zealand Dollar,0.0
CASH_ZAR,South African Rand,0.0
CASH_SGD,Singapore Dollar,0.0
CASH_USD,U.S. Dollar,0.0
