SDY,1.68700006E10
T,AT&T Inc,1.88
ABBV,AbbVie Inc,1.78
O,Realty Income Corp,1.66
ORI,Old Republic International Corp,1.63
NNN,National Retail Properties Inc,1.57
ED,Consolidated Edison Inc,1.54
KMB,Kimberly-Clark Corp,1.41
EMR,Emerson Electric Co,1.39
PBCT,People's United Financial Inc,1.38
CVX,Chevron Corp,1.36
KO,Coca-Cola Co,1.34
IBM,International Business Machines Corp,1.33
PG,Procter & Gamble Co,1.31
MCD,McDonald's Corp,1.29
NEE,NextEra Energy Inc,1.28
CAT,Caterpillar Inc,1.27
VFC,VF Corp,1.27
JNJ,Johnson & Johnson,1.27
XOM,Exxon Mobil Corp,1.27
ABT,Abbott Laboratories,1.23
PEP,PepsiCo Inc,1.21
CLX,Clorox Co,1.2
WMT,Wal-Mart Stores Inc,1.2
NFG,National Fuel Gas Co,1.2
BKH,Black Hills Corp,1.14
LEG,Leggett & Platt Inc,1.13
EV,Eaton Vance Corp,1.13
ESS,Essex Property Trust Inc,1.11
TGT,Target Corp,1.11
CAH,Cardinal Health Inc,1.11
TROW,T Rowe Price Group Inc,1.1
UBSI,United Bankshares Inc/WV,1.1
PII,Polaris Industries Inc,1.1
SON,Sonoco Products Co,1.09
WTR,Aqua America Inc,1.08
MDT,Medtronic PLC,1.08
CINF,Cincinnati Financial Corp,1.07
MMM,3M Co,1.07
WGL,WGL Holdings Inc,1.06
GPC,Genuine Parts Co,1.05
ADM,Archer-Daniels-Midland Co,1.05
NUE,Nucor Corp,1.04
FRT,Federal Realty Investment Trust,1.03
SKT,Tanger Factory Outlet Centers Inc,1.03
MDP,Meredith Corp,1.02
ATO,Atmos Energy Corp,1.02
CL,Colgate-Palmolive Co,1.02
PX,Praxair Inc,1.02
PNR,Pentair PLC,1.01
AFL,Aflac Inc,1.01
MDU,MDU Resources Group Inc,1.0
CFR,Cullen/Frost Bankers Inc,0.97
UTX,United Technologies Corp,0.96
NJR,New Jersey Resources Corp,0.94
RPM,RPM International Inc,0.94
BMS,Bemis Co Inc,0.93
SYY,Sysco Corp,0.93
DOV,Dover Corp,0.91
ITW,Illinois Tool Works Inc,0.89
ADP,Automatic Data Processing Inc,0.89
APD,Air Products & Chemicals Inc,0.89
LOW,Lowe's Cos Inc,0.87
CB,Chubb Corp,0.86
MKC,McCormick & Co Inc/MD,0.86
UGI,UGI Corp,0.86
SWK,Stanley Black & Decker Inc,0.85
VVC,Vectren Corp,0.85
BEN,Franklin Resources Inc,0.83
GWW,WW Grainger Inc,0.82
LECO,Lincoln Electric Holdings Inc,0.76
WBA,Walgreens Boots Alliance Inc,0.76
BDX,Becton Dickinson and Co,0.75
GD,General Dynamics Corp,0.75
HRL,Hormel Foods Corp,0.75
ATR,AptarGroup Inc,0.72
ABM,ABM Industries Inc,0.72
DCI,Donaldson Co Inc,0.7
CHD,Church & Dwight Co Inc,0.69
PPG,PPG Industries Inc,0.68
BF.B,Brown-Forman Corporation Class B,0.65
EXPD,Expeditors International of Washington Inc,0.64
ALB,Albemarle Corp,0.61
CBSH,Commerce Bancshares Inc/MO,0.6
SPGI,S&P Global Inc.,0.59
VAL,Valspar Corp,0.58
TJX,TJX Cos Inc,0.58
LANC,Lancaster Colony Corp,0.58
SHW,Sherwin-Williams Co,0.55
TDS,Telephone & Data Systems Inc,0.53
ECL,Ecolab Inc,0.51
RLI,RLI Corp,0.5
CSL,Carlisle Cos Inc,0.5
JW.A,John Wiley & Sons Inc. Class A,0.48
BRO,Brown & Brown Inc,0.48
FUL,HB Fuller Co,0.47
CTAS,Cintas Corp,0.47
SEIC,SEI Investments Co,0.45
CBU,Community Bank System Inc,0.44
MCY,Mercury General Corp,0.44
NDSN,Nordson Corp,0.42
AOS,AO Smith Corp,0.42
MSA,MSA Safety Inc,0.42
CDK,CDK Global Inc,0.4
RNR,RenaissanceRe Holdings Ltd,0.39
ROP,Roper Technologies Inc,0.34
ROST,Ross Stores Inc,0.33
46729666,SSC GOVERNMENT MM GVXX STIF USD,0.27
WST,West Pharmaceutical Services Inc,0.23
BCR,CR Bard Inc,0.19
Identifier,Name,0.0
CASH_USD,U.S. Dollar,0.0
