SPHB,4.89369984E8
CHK,Chesapeake Energy Corp,1.69
FCX,Freeport-McMoRan Inc,1.46
MUR,Murphy Oil Corp,1.37
MU,Micron Technology Inc,1.36
MRO,Marathon Oil Corp,1.3
IVZ,Invesco Ltd,1.28
RIG,Transocean Ltd,1.28
WDC,Western Digital Corp,1.27
LNC,Lincoln National Corp,1.25
CBG,CBRE Group Inc,1.23
AMG,Affiliated Managers Group Inc,1.2
NRG,NRG Energy Inc,1.2
MS,Morgan Stanley,1.19
AMP,Ameriprise Financial Inc,1.19
URI,United Rentals Inc,1.18
SWKS,Skyworks Solutions Inc,1.18
C,Citigroup Inc,1.18
SCHW,Charles Schwab Corp,1.17
STX,Seagate Technology PLC,1.17
WMB,Williams Cos Inc,1.17
DLPH,Delphi Automotive PLC,1.16
VRTX,Vertex Pharmaceuticals Inc,1.15
BAC,Bank of America Corp,1.15
QRVO,Qorvo Inc,1.14
ADSK,Autodesk Inc,1.12
BWA,BorgWarner Inc,1.12
CMA,Comerica Inc,1.11
BEN,Franklin Resources Inc,1.11
HES,Hess Corp,1.11
RF,Regions Financial Corp,1.11
ETFC,E*TRADE Financial Corp,1.1
SWN,Southwestern Energy Co,1.1
DVN,Devon Energy Corp,1.1
MPC,Marathon Petroleum Corp,1.09
LUK,Leucadia National Corp,1.09
ARNC,Arconic Inc,1.07
PFG,Principal Financial Group Inc,1.07
ZION,Zions Bancorporation,1.07
MET,MetLife Inc,1.05
PRU,Prudential Financial Inc,1.04
MYL,Mylan NV,1.03
FMC,FMC Corp,1.02
R,Ryder System Inc,1.02
AVGO,Avago Technologies Ltd,1.02
APC,Anadarko Petroleum Corp,1.01
CFG,Citizens Financial Group Inc,1.01
NAVI,Navient Corp,1.0
APA,Apache Corp,0.99
FITB,Fifth Third Bancorp,0.98
ILMN,Illumina Inc,0.98
RCL,Royal Caribbean Cruises Ltd,0.98
TDC,Teradata Corp,0.98
WRK,WestRock Co,0.97
UNM,Unum Group,0.97
FTI,FMC Technologies Inc,0.97
HPQ,Hewlett-Packard Co,0.97
HP,Helmerich & Payne Inc,0.97
HBAN,Huntington Bancshares Inc/OH,0.97
STI,SunTrust Banks Inc,0.96
REGN,Regeneron Pharmaceuticals Inc,0.96
MCO,Moody's Corp,0.95
NTRS,Northern Trust Corp,0.95
UAL,United Continental Holdings Inc,0.94
KEY,KeyCorp,0.93
CTXS,Citrix Systems Inc,0.93
FSLR,First Solar Inc,0.93
WYNN,Wynn Resorts Ltd,0.93
AAL,American Airlines Group Inc,0.93
STT,State Street Corp,0.92
KMI,Kinder Morgan Inc/DE,0.91
PNR,Pentair PLC,0.91
NOV,National Oilwell Varco Inc,0.9
BLK,BlackRock Inc,0.9
NUE,Nucor Corp,0.9
COP,ConocoPhillips,0.89
GS,Goldman Sachs Group Inc,0.89
PVH,PVH Corp,0.88
COF,Capital One Financial Corp,0.88
GPN,Global Payments Inc,0.88
FLR,Fluor Corp,0.88
AYI,Acuity Brands Inc,0.87
PWR,Quanta Services Inc,0.87
KMX,CarMax Inc,0.87
SPLS,Staples Inc,0.87
DAL,Delta Air Lines Inc,0.87
AKAM,Akamai Technologies Inc,0.86
SYF,Synchrony Financial,0.86
VIAB,Viacom Inc,0.86
CXO,Concho Resources Inc,0.85
NFX,Newfield Exploration Co,0.85
FLS,Flowserve Corp,0.84
HPE,Hewlett Packard Enterprise Co,0.82
XEC,Cimarex Energy Co,0.82
HAL,Halliburton Co,0.81
UAA,Under Armour Inc,0.81
RRC,Range Resources Corp,0.73
CF,CF Industries Holdings Inc,0.71
