VDC,4.09000013E9
PG,Procter & Gamble Co,10.82
KO,Coca-Cola Co,8.02
PEP,PepsiCo Inc,6.98
PM,Philip Morris International Inc,6.89
MO,Altria Group Inc,6.37
WMT,Wal-Mart Stores Inc,4.78
CVS,CVS Health Corp,3.73
COST,Costco Wholesale Corp,3.63
WBA,Walgreens Boots Alliance Inc,3.6
MDLZ,Mondelez International Inc,3.52
CL,Colgate-Palmolive Co,2.79
KHC,Kraft Heinz Co,2.71
RAI,Reynolds American Inc,2.62
KMB,Kimberly-Clark Corp,2.24
GIS,General Mills Inc,1.91
KR,Kroger Co,1.61
SYY,Sysco Corp,1.47
ADM,Archer-Daniels-Midland Co,1.38
STZ,Constellation Brands Inc,1.33
K,Kellogg Co,1.0
TSN,Tyson Foods Inc,1.0
EL,Estee Lauder Cos Inc,0.95
TAP,Molson Coors Brewing Co,0.94
DPS,Dr Pepper Snapple Group Inc,0.91
MNST,Monster Beverage Corp,0.89
CAG,ConAgra Foods Inc,0.87
HSY,Hershey Co,0.83
SJM,JM Smucker Co,0.81
CLX,Clorox Co,0.81
MJN,Mead Johnson Nutrition Co,0.72
CHD,Church & Dwight Co Inc,0.63
CPB,Campbell Soup Co,0.63
MKC,McCormick & Co Inc/MD,0.6
HRL,Hormel Foods Corp,0.57
BF.B,Brown-Forman Corp,0.56
WFM,Whole Foods Market Inc,0.55
WWAV,WhiteWave Foods Co,0.54
BG,Bunge Ltd,0.54
INGR,Ingredion Inc,0.51
COTY,Coty Inc,0.5
PF,Pinnacle Foods Inc,0.35
RAD,Rite Aid Corp,0.31
POST,Post Holdings Inc,0.31
EPC,Edgewell Personal Care Co,0.28
LW,LAMB WESTON,0.27
CASY,Casey's General Stores Inc,0.26
THS,TreeHouse Foods Inc,0.25
HAIN,Hain Celestial Group Inc,0.24
SPB,Spectrum Brands Holdings Inc,0.24
HLF,Herbalife Ltd,0.23
FLO,Flowers Foods Inc,0.22
LNCE,Snyder's-Lance Inc,0.22
ENR,Energizer Holdings Inc,0.22
NUS,Nu Skin Enterprises Inc,0.2
BGS,B&G Foods Inc,0.2
AVP,Avon Products Inc,0.2
LANC,Lancaster Colony Corp,0.17
SFM,Sprouts Farmers Market Inc,0.17
UNFI,United Natural Foods Inc,0.16
FDP,Fresh Del Monte Produce Inc,0.15
DAR,Darling Ingredients Inc,0.15
SAFM,Sanderson Farms Inc,0.14
VGR,Vector Group Ltd,0.14
SPTN,SpartanNash Co,0.14
JJSF,J&J Snack Foods Corp,0.14
DF,Dean Foods Co,0.14
HRG,HRG Group Inc,0.13
UVV,Universal Corp/VA,0.12
WDFC,WD-40 Co,0.12
PSMT,PriceSmart Inc,0.12
CENT,Central Garden & Pet Co,0.1
PPC,Pilgrim's Pride Corp,0.1
SAM,Boston Beer Co Inc,0.1
ANDE,Andersons Inc,0.1
CALM,Cal-Maine Foods Inc,0.09
TR,Tootsie Roll Industries Inc,0.09
WMK,Weis Markets Inc,0.09
CVGW,Calavo Growers Inc,0.08
IPAR,Inter Parfums Inc,0.08
COKE,Coca-Cola Bottling Co Consolidated,0.08
MED,Medifast Inc,0.07
USNA,USANA Health Sciences Inc,0.07
REV,Revlon Inc,0.07
SENEA,Seneca Foods Corp,0.07
FARM,Farmer Bros Co,0.06
FRPT,Freshpet Inc,0.06
SVU,SUPERVALU Inc,0.06
IMKTA,Ingles Markets Inc,0.06
VLGEA,Village Super Market Inc,0.06
LNDC,Landec Corp,0.06
SFS,Smart & Final Stores Inc,0.05
CHEF,Chefs' Warehouse Inc,0.05
NGVC,Natural Grocers by Vitamin Cottage Inc,0.03
USFD,US FOODS HOLDING,0.01
PFGC,PERFORMANCE FOOD,0.0
BUFF,Blue Buffalo Pet Products Inc,0.0
JBSS,John B Sanfilippo & Son Inc,0.0
OME,Omega Protein Corp,0.0
BETR,AMPLIFY SNACK BR,0.0
NHTC,Natural Health Trends Corp,0.0
FIZZ,National Beverage Corp,0.0
MGPI,MGP Ingredients Inc,0.0
