VHT,7.8499999E9
JNJ,Johnson & Johnson,9.86
PFE,Pfizer Inc,6.12
MRK,Merck & Co Inc,5.45
UNH,UnitedHealth Group Inc,4.91
AMGN,Amgen Inc,3.73
MDT,Medtronic PLC,3.37
ABBV,AbbVie Inc,3.16
GILD,Gilead Sciences Inc,3.04
CELG,Celgene Corp,2.86
AGN,Allergan plc,2.75
BMY,Bristol-Myers Squibb Co,2.61
LLY,Eli Lilly & Co,2.43
ABT,Abbott Laboratories,2.28
BIIB,Biogen Inc,1.93
TMO,Thermo Fisher Scientific Inc,1.91
DHR,Danaher Corp,1.66
ESRX,Express Scripts Holding Co,1.38
SYK,Stryker Corp,1.32
AET,Aetna Inc,1.32
ANTM,Anthem Inc,1.29
BDX,Becton Dickinson and Co,1.2
CI,Cigna Corp,1.19
BSX,Boston Scientific Corp,1.04
MCK,McKesson Corp,0.99
HUM,Humana Inc,0.94
ALXN,Alexion Pharmaceuticals Inc,0.93
REGN,Regeneron Pharmaceuticals Inc,0.88
ISRG,Intuitive Surgical Inc,0.84
ZTS,Zoetis Inc,0.82
HCA,HCA Holdings Inc,0.77
CAH,Cardinal Health Inc,0.76
ZBH,Zimmer Biomet Holdings Inc,0.75
ILMN,Illumina Inc,0.74
BAX,Baxter International Inc,0.74
VRTX,Vertex Pharmaceuticals Inc,0.67
INCY,Incyte Corp,0.65
EW,Edwards Lifesciences Corp,0.65
BCR,CR Bard Inc,0.55
MYL,Mylan NV,0.55
ABC,AmerisourceBergen Corp,0.52
CERN,Cerner Corp,0.52
A,Agilent Technologies Inc,0.5
BMRN,BioMarin Pharmaceutical Inc,0.47
LH,Laboratory Corp of America Holdings,0.43
XRAY,DENTSPLY International Inc,0.42
HSIC,Henry Schein Inc,0.41
DGX,Quest Diagnostics Inc,0.4
Q,Quintiles Transnational Holdings Inc,0.36
WAT,Waters Corp,0.36
MTD,Mettler-Toledo International Inc,0.36
IDXX,IDEXX Laboratories Inc,0.34
PRGO,Perrigo Co PLC,0.34
CNC,Centene Corp,0.34
DVA,DaVita HealthCare Partners Inc,0.33
UHS,Universal Health Services Inc,0.32
HOLX,Hologic Inc,0.32
RMD,ResMed Inc,0.3
COO,Cooper Cos Inc,0.28
ALKS,ALKERMES PLC,0.26
