VOX,1.11E9
T,AT&T Inc,23.11
VZ,Verizon Communications Inc,20.71
TMUS,T-Mobile US Inc,4.86
LVLT,Level 3 Communications Inc,4.46
SBAC,SBA Communications Corp,3.65
CTL,CenturyLink Inc,3.48
S,Sprint Corp,3.12
TDS,Telephone & Data Systems Inc,2.0
ZAYO,Zayo Group Holdings Inc,1.98
GNCMA,General Communication Inc,1.87
VG,Vonage Holdings Corp,1.85
GSAT,Globalstar Inc,1.84
CCOI,Cogent Communications Holdings Inc,1.8
IRDM,Iridium Communications Inc,1.77
CBB,Cincinnati Bell Inc,1.76
FRP,FairPoint Communications Inc,1.7
ATNI,Atlantic Tele-Network Inc,1.67
IQNT,Inteliquent Inc,1.66
LMOS,Lumos Networks Corp,1.65
NIHD,NII Holdings Inc,1.63
FTR,Frontier Communications Corp,1.62
CNSL,Consolidated Communications Holdings Inc,1.59
SPOK,Spok Holdings Inc,1.59
WIN,WINDSTREAM HOLDI,1.57
USM,United States Cellular Corp,1.54
SHEN,Shenandoah Telecommunications Co,1.5
IDT,IDT Corp,1.32
ORBC,ORBCOMM Inc,1.31
PDVW,Pacific DataVision Inc,1.14
