VPU,2.56999987E9
NEE,NextEra Energy Inc,7.65
DUK,Duke Energy Corp,7.25
SO,Southern Co,6.48
D,Dominion Resources Inc/VA,6.41
EXC,Exelon Corp,4.43
AEP,American Electric Power Co Inc,4.22
PCG,PG&E Corp,4.17
SRE,Sempra Energy,3.25
EIX,Edison International,3.18
PPL,PPL Corp,3.16
ED,Consolidated Edison Inc,3.03
PEG,Public Service Enterprise Group Inc,2.99
XEL,Xcel Energy Inc,2.81
WEC,WEC Energy Group Inc,2.49
DTE,DTE Energy Co,2.37
ES,Eversource Energy,2.35
AWK,American Water Works Co Inc,1.75
FE,FirstEnergy Corp,1.72
AEE,Ameren Corp,1.71
ETR,Entergy Corp,1.71
CMS,CMS Energy Corp,1.59
CNP,CenterPoint Energy Inc,1.43
SCG,SCANA Corp,1.24
PNW,Pinnacle West Capital Corp,1.15
LNT,Alliant Energy Corp,1.14
UGI,UGI Corp,1.07
ATO,Atmos Energy Corp,1.06
WR,Westar Energy Inc,1.03
AES,AES Corp/VA,1.01
NI,NiSource Inc,0.96
OGE,OGE Energy Corp,0.89
GXP,Great Plains Energy Inc,0.76
MDU,MDU Resources Group Inc,0.73
WTR,Aqua America Inc,0.72
NRG,NRG Energy Inc,0.69
VVC,Vectren Corp,0.6
WGL,WGL Holdings Inc,0.56
IDA,IDACORP Inc,0.54
NFG,National Fuel Gas Co,0.54
CPN,Calpine Corp,0.53
POR,Portland General Electric Co,0.52
SWX,Southwest Gas Corp,0.51
HE,Hawaiian Electric Industries Inc,0.48
OGS,ONE Gas Inc,0.45
BKH,Black Hills Corp,0.43
NJR,New Jersey Resources Corp,0.43
ALE,ALLETE Inc,0.41
SR,Standard Register Co,0.39
NWE,NorthWestern Corp,0.37
PNM,PNM Resources Inc,0.36
SJI,South Jersey Industries Inc,0.35
AVA,Avista Corp,0.33
AGR,AVANGRID INC,0.32
MGEE,MGE Energy Inc,0.29
ORA,Ormat Technologies Inc,0.26
EE,El Paso Electric Co,0.24
CWT,California Water Service Group,0.22
NEP,NEXTERA ENERGY P,0.22
NWN,Northwest Natural Gas Co,0.21
AWR,American States Water Co,0.21
PEGI,Pattern Energy Group Inc,0.18
OTTR,Otter Tail Corp,0.17
NYLD,NRG Yield Inc,0.14
CPK,Chesapeake Utilities Corp,0.13
DYN,Dynegy Inc,0.12
SJW,SJW Corp,0.1
TERP,TerraForm Power Inc,0.08
MSEX,Middlesex Water Co,0.08
UTL,Unitil Corp,0.08
CTWS,Connecticut Water Service Inc,0.08
NYLD.A,NRG YIELD INC CL A,0.07
CAFD,8Point3 Energy Partners LP,0.04
GLBL,TERRAFORM GLOB-A,0.04
SPKE,Spark Energy Inc,0.02
VSLR,VIVINT SOLAR INC,0.0
