XLE,2.05000008E10
XOM,Exxon Mobil Corp,16.48
CVX,Chevron Corp,15.08
SLB,Schlumberger Ltd,8.37
PXD,Pioneer Natural Resources Co,5.08
EOG,EOG Resources Inc,4.9
HAL,Halliburton Co,3.83
VLO,Valero Energy Corp,3.12
OXY,Occidental Petroleum Corp,3.11
COP,ConocoPhillips,3.01
APC,Anadarko Petroleum Corp,2.99
KMI,Kinder Morgan Inc/DE,2.98
PSX,Phillips 66,2.54
WMB,Williams Cos Inc,2.38
BHI,Baker Hughes Inc,2.32
TSO,Tesoro Corp,2.25
MPC,Marathon Petroleum Corp,1.95
FTI,FMC Technologies Inc,1.94
DVN,Devon Energy Corp,1.78
COG,Cabot Oil & Gas Corp,1.64
APA,Apache Corp,1.6
NBL,Noble Energy Inc,1.44
CXO,Concho Resources Inc,1.38
NOV,National Oilwell Varco Inc,1.34
HES,Hess Corp,1.17
MRO,Marathon Oil Corp,1.11
XEC,Cimarex Energy Co,0.83
OKE,ONEOK Inc,0.81
EQT,EQT Corp,0.72
RRC,Range Resources Corp,0.59
46729666,SSC GOVERNMENT MM GVXX STIF USD,0.56
HP,Helmerich & Payne Inc,0.53
NFX,Newfield Exploration Co,0.49
MUR,Murphy Oil Corp,0.42
CHK,Chesapeake Energy Corp,0.38
RIG,Transocean Ltd,0.36
SWN,Southwestern Energy Co,0.35
Identifier,Name,0.0
CASH_USD,U.S. Dollar,0.0
