XOP,2.80999987E9
CWEI,Clayton Williams Energy Inc,3.07
MPC,Marathon Petroleum Corp,2.29
VLO,Valero Energy Corp,2.22
PXD,Pioneer Natural Resources Co,2.16
FANG,Diamondback Energy Inc,2.13
WNR,Western Refining Inc,2.08
LPI,Laredo Petroleum Inc,2.08
COG,Cabot Oil & Gas Corp,2.08
TSO,Tesoro Corp,2.08
CVX,Chevron Corp,2.07
OXY,Occidental Petroleum Corp,2.03
XOM,Exxon Mobil Corp,2.03
CXO,Concho Resources Inc,2.03
PSX,Phillips 66,2.02
RSPP,RSP Permian Inc,2.01
EOG,EOG Resources Inc,2.0
APC,Anadarko Petroleum Corp,2.0
COP,ConocoPhillips,1.99
AR,Antero Resources Corp,1.97
REN,Resolute Energy Corp,1.94
NBL,Noble Energy Inc,1.92
XEC,Cimarex Energy Co,1.91
PE,Parsley Energy Inc,1.9
RICE,Rice Energy Inc,1.89
EGN,Energen Corp,1.89
OAS,Oasis Petroleum Inc,1.89
DVN,Devon Energy Corp,1.88
HFC,HollyFrontier Corp,1.88
MRO,Marathon Oil Corp,1.87
WPX,WPX Energy Inc,1.86
MUR,Murphy Oil Corp,1.81
PDCE,PDC Energy Inc,1.81
CLR,Continental Resources Inc/OK,1.81
MTDR,Matador Resources Co,1.79
PBF,PBF Energy Inc,1.73
WLL,Whiting Petroleum Corp,1.72
HES,Hess Corp,1.72
EQT,EQT Corp,1.71
APA,Apache Corp,1.69
NFX,Newfield Exploration Co,1.61
SRCI,SRC Energy Inc,1.61
RRC,Range Resources Corp,1.59
CRZO,Carrizo Oil & Gas Inc,1.58
CHK,Chesapeake Energy Corp,1.55
CPE,Callon Petroleum Co,1.53
QEP,QEP Resources Inc,1.48
CRC,California Resources Corp,1.42
SWN,Southwestern Energy Co,1.36
SM,SM Energy Co,1.33
GPOR,Gulfport Energy Corp,1.27
DNR,Denbury Resources Inc,1.12
SN,Sanchez Energy Corp,1.1
DK,Delek US Holdings Inc,0.85
GPRE,Green Plains Inc,0.78
INT,World Fuel Services Corp,0.63
REX,REX American Resources Corp,0.4
BBG,Bill Barrett Corp,0.38
KOS,Kosmos Energy Ltd,0.35
CLNE,Clean Energy Fuels Corp,0.28
PARR,Par Pacific Holdings Inc,0.23
46729666,SSC GOVERNMENT MM GVXX STIF USD,0.17
CIE,Cobalt International Energy Inc,0.09
Identifier,Name,0.0
CASH_USD,U.S. Dollar,0.0
